Scopus-267310-Analyze-Year

"Your query : ((TITLE-ABS-KEY(work-life AND balance) OR TITLE-ABS-KEY(well-being) OR TITLE-ABS-KEY(wellness) AND LANGUAGE(english)))"


Number of results : 267310

"YEAR",
"2023","36240"
"2022","31281"
"2021","28607"
"2020","22599"
"2019","18462"
"2018","15722"
"2017","14033"
"2016","12846"
"2015","11262"
"2014","10162"
"2013","9609"
"2012","8235"
"2011","7341"
"2010","6328"
"2009","5712"
"2008","5158"
"2007","4459"
"2006","4066"
"2005","3493"
"2004","2918"
"2003","2526"
"2002","2198"
"2001","2108"
"2000","1945"
