Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0.0,1.1589403973509933,0.22727272727272727,0.7462686567164178,0.6206896551724138,2.1016949152542375,2.405498281786942,1.8593371059013744,2.2388059701492535,1.3544018058690745
01:00,0,0,0,0,0,0,0,0,0,0,0.0,0.33112582781456956,0.6060606060606061,0.6784260515603799,0.6896551724137931,1.966101694915254,1.6494845360824744,1.2126111560226354,1.791044776119403,1.1286681715575622
02:00,0,0,0,0,0,0,0,0,0,0,0.0,0.33112582781456956,0.30303030303030304,0.47489823609226595,0.27586206896551724,0.47457627118644063,1.3058419243986255,0.40420371867421184,0.44776119402985076,0.1128668171557562
03:00,0,0,0,0,0,0,0,0,0,0,0.0,1.6556291390728477,3.0303030303030303,1.4246947082767978,0.8275862068965517,1.3559322033898304,2.1305841924398625,1.3742926434923202,0.5970149253731344,1.0158013544018059
04:00,0,0,0,0,0,0,0,0,0,0,0.0,6.622516556291391,7.954545454545454,5.291723202170964,6.482758620689655,4.745762711864407,3.0927835051546393,3.9611964430072755,2.6865671641791042,1.9187358916478554
05:00,0,0,0,0,0,0,0,0,0,0,0.0,9.023178807947021,9.242424242424242,6.1736770691994565,5.862068965517241,6.237288135593221,6.460481099656358,6.709781729991916,4.776119402985075,5.417607223476298
06:00,0,0,0,0,0,0,0,0,0,0,75.0,5.877483443708609,6.0606060606060606,4.545454545454546,6.482758620689655,6.8474576271186445,5.567010309278351,5.173807599029911,5.3731343283582085,4.401805869074492
07:00,0,0,0,0,0,0,0,0,0,0,0.0,7.450331125827815,4.46969696969697,6.445047489823609,4.689655172413794,6.711864406779661,3.7800687285223367,5.739692805173808,5.970149253731343,5.756207674943567
08:00,0,0,0,0,0,0,0,0,0,0,0.0,7.6158940397351,8.106060606060606,8.208955223880597,8.068965517241379,8.271186440677965,4.604810996563574,5.335489086499596,5.820895522388059,7.562076749435666
09:00,0,0,0,0,0,0,0,0,0,0,0.0,4.718543046357616,5.227272727272727,5.359565807327002,8.137931034482758,5.1525423728813555,6.529209621993128,7.113985448666129,5.820895522388059,9.029345372460497
10:00,0,0,0,0,0,0,0,0,0,0,0.0,10.596026490066226,8.030303030303031,9.49796472184532,8.482758620689655,7.796610169491526,5.360824742268041,6.8714632174616,5.970149253731343,5.530474040632054
11:00,0,0,0,0,0,0,0,0,0,0,0.0,15.314569536423841,17.045454545454543,13.772048846675714,17.310344827586206,13.830508474576272,9.140893470790378,8.56911883589329,7.91044776119403,10.835214446952596
12:00,0,0,0,0,0,0,0,0,0,0,0.0,7.9470198675496695,5.151515151515151,7.666214382632293,5.379310344827586,9.491525423728813,7.560137457044673,6.4672594987873895,7.462686567164178,7.336343115124154
13:00,0,0,0,0,0,0,0,0,0,0,25.0,4.304635761589404,2.6515151515151514,4.1383989145183175,3.103448275862069,2.847457627118644,3.917525773195876,6.548100242522231,5.074626865671641,3.611738148984198
14:00,0,0,0,0,0,0,0,0,0,0,0.0,3.062913907284768,3.8636363636363633,3.324287652645862,2.1379310344827585,2.440677966101695,3.6426116838487976,5.739692805173808,7.014925373134329,4.288939051918736
15:00,0,0,0,0,0,0,0,0,0,0,0.0,3.3112582781456954,3.106060606060606,3.324287652645862,3.1724137931034484,1.0847457627118644,4.398625429553265,5.416329830234439,4.776119402985075,6.320541760722348
16:00,0,0,0,0,0,0,0,0,0,0,0.0,1.73841059602649,3.7121212121212124,3.324287652645862,3.379310344827586,1.8983050847457625,3.436426116838488,4.688763136620857,7.462686567164178,5.530474040632054
17:00,0,0,0,0,0,0,0,0,0,0,0.0,1.4072847682119205,2.5757575757575757,3.0529172320217097,3.2413793103448274,3.186440677966101,5.70446735395189,4.203718674211803,4.179104477611941,5.756207674943567
18:00,0,0,0,0,0,0,0,0,0,0,0.0,3.2284768211920527,2.4242424242424243,2.8493894165535956,4.0,2.7796610169491522,4.673539518900344,3.7186742118027487,2.8358208955223883,3.4988713318284423
19:00,0,0,0,0,0,0,0,0,0,0,0.0,0.6622516556291391,2.272727272727273,3.731343283582089,3.0344827586206895,4.0,4.261168384879725,3.0719482619240095,3.731343283582089,2.2573363431151243
20:00,0,0,0,0,0,0,0,0,0,0,0.0,0.9933774834437087,1.7424242424242427,2.3066485753052914,1.862068965517241,2.305084745762712,3.5051546391752577,2.1018593371059016,2.8358208955223883,1.3544018058690745
21:00,0,0,0,0,0,0,0,0,0,0,0.0,0.9933774834437087,1.2878787878787878,1.6960651289009496,1.6551724137931034,2.2372881355932206,2.1305841924398625,1.4551333872271623,1.791044776119403,2.2573363431151243
22:00,0,0,0,0,0,0,0,0,0,0,0.0,0.9933774834437087,0.6060606060606061,1.6282225237449117,0.6206896551724138,1.0847457627118644,2.542955326460481,0.6467259498787389,1.791044776119403,2.595936794582393
23:00,0,0,0,0,0,0,0,0,0,0,0.0,0.6622516556291391,0.30303030303030304,0.33921302578018997,0.4827586206896552,1.152542372881356,2.1993127147766325,1.6168148746968474,1.6417910447761193,1.1286681715575622
