Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,16,26,20,32,19,40,36,33,33,42,55,43,29,47,55,105,0,0,0,0
01:00,14,22,8,13,11,16,23,28,25,30,48,23,24,35,43,48,0,0,0,0
02:00,5,8,9,17,13,12,7,15,24,27,34,27,32,37,63,29,0,0,0,0
03:00,2,0,3,9,4,9,3,8,24,28,40,19,25,41,44,35,0,0,0,0
04:00,0,0,1,2,1,3,1,5,11,19,30,20,28,49,43,48,0,0,0,0
05:00,0,0,0,3,0,0,4,10,25,27,59,23,15,55,42,52,0,0,0,0
06:00,0,0,1,14,8,6,7,7,43,29,36,31,27,50,61,72,0,0,0,0
07:00,1,0,4,13,7,18,10,15,45,27,48,32,36,41,61,48,0,0,0,0
08:00,0,1,1,15,18,17,29,18,26,24,42,37,28,50,84,46,0,0,0,0
09:00,0,0,2,29,18,25,37,10,11,40,28,31,28,50,68,45,0,0,0,0
10:00,0,4,2,25,27,32,33,12,18,34,33,27,22,31,34,25,0,0,0,0
11:00,3,10,10,34,18,24,38,54,60,53,74,51,15,18,24,11,0,0,0,0
12:00,0,18,17,40,26,24,37,35,67,65,91,41,12,12,13,13,0,0,0,0
13:00,0,29,25,50,35,22,40,49,73,78,69,50,14,17,8,3,0,0,0,0
14:00,0,19,17,37,37,30,38,38,52,65,80,32,25,9,10,6,0,0,0,0
15:00,1,23,21,42,38,21,41,66,72,62,93,52,9,24,37,9,0,0,0,0
16:00,1,7,23,44,35,34,61,55,116,87,111,52,7,46,58,14,0,0,0,0
17:00,0,15,28,50,43,43,66,59,106,89,115,49,12,26,23,17,0,0,0,0
18:00,2,24,25,54,48,49,34,108,108,99,126,53,17,34,25,18,0,0,0,0
19:00,2,10,15,55,32,25,34,80,98,93,108,62,25,24,44,29,0,0,0,0
20:00,3,12,19,51,47,45,67,47,67,68,87,58,23,35,34,39,0,0,0,0
21:00,10,26,28,78,52,47,46,47,52,82,64,72,46,36,37,55,0,0,0,0
22:00,30,36,24,56,62,59,58,47,34,54,75,53,26,35,53,35,0,0,0,0
23:00,18,29,21,37,39,55,46,48,42,74,64,63,36,52,40,61,0,0,0,0
