Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,1,9,25,11,1,2,3,11,5,2,1,0,16,7,4,4,11,11,3,2
01:00,1,10,13,2,0,0,1,0,0,6,5,0,6,5,4,3,2,14,2,0
02:00,0,4,1,0,0,0,1,1,1,2,0,2,0,5,1,0,1,56,15,6
03:00,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,38,12
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,26,14
05:00,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,32,21,8
06:00,0,0,0,5,2,8,1,3,0,1,0,3,0,0,0,0,0,22,21,18
07:00,1,3,12,33,9,1,3,9,12,0,0,2,3,2,0,0,0,2,7,3
08:00,8,12,24,40,22,2,15,16,8,15,7,2,22,10,1,1,2,1,3,0
09:00,7,23,26,54,29,29,29,34,36,33,30,15,47,9,8,3,2,21,10,1
10:00,18,31,29,32,20,36,51,37,46,27,45,35,93,32,7,3,13,24,24,7
11:00,22,63,25,53,28,40,47,55,78,42,80,52,78,52,34,22,27,55,50,26
12:00,25,47,23,35,38,40,50,33,28,26,44,32,59,53,47,15,24,271,225,186
13:00,7,17,20,47,33,31,44,24,38,29,36,46,53,41,58,29,42,36,56,35
14:00,23,28,19,40,33,30,48,36,49,42,72,53,61,44,23,23,32,72,44,35
15:00,19,43,12,28,28,45,71,45,44,44,60,56,77,62,41,25,29,78,23,25
16:00,32,49,29,44,30,56,73,34,42,33,68,46,59,67,54,35,25,68,30,38
17:00,18,40,37,44,31,52,63,29,53,35,48,32,67,82,58,42,43,54,22,24
18:00,11,47,45,38,31,53,63,29,38,23,22,23,57,59,46,39,37,36,33,22
19:00,6,28,56,44,27,21,25,20,10,16,13,15,42,53,28,24,26,22,19,12
20:00,10,19,36,50,24,5,31,23,20,4,11,14,17,8,26,15,16,21,9,6
21:00,4,26,66,72,39,12,24,26,19,9,11,7,13,21,21,15,6,21,3,4
22:00,3,18,47,68,24,6,15,33,23,7,12,18,25,9,17,7,16,21,3,6
23:00,1,14,56,39,17,8,15,27,11,6,0,13,29,26,3,6,6,19,7,5
