Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,17,4,18,27,23,25,25,16,14,9,21,7,8,9,18,6,7,3,4,0
01:00,4,1,8,10,18,25,15,31,11,12,11,13,20,12,19,28,15,13,5,0
02:00,1,5,6,14,7,10,15,19,23,28,5,10,27,15,26,23,20,10,5,1
03:00,1,0,1,1,5,4,8,41,23,16,9,19,23,11,24,24,24,11,4,1
04:00,1,0,0,0,0,6,1,26,23,19,17,13,20,11,46,24,23,16,6,1
05:00,2,0,1,0,0,2,4,22,21,21,11,12,19,15,30,27,24,13,8,0
06:00,2,1,1,0,0,1,4,15,17,27,7,6,18,14,13,30,14,9,9,2
07:00,2,3,8,1,2,12,10,17,20,13,9,7,16,16,20,28,18,23,4,2
08:00,3,4,12,9,11,35,35,23,25,25,5,4,10,10,16,28,17,9,5,10
09:00,6,5,14,21,29,45,74,52,36,53,19,45,49,23,27,22,38,48,62,31
10:00,6,9,18,22,23,90,82,53,48,69,50,43,72,56,58,55,41,71,82,50
11:00,16,16,23,35,39,75,85,80,37,54,32,41,76,66,55,67,55,61,90,35
12:00,10,21,29,40,23,68,89,55,47,35,26,42,59,57,43,71,71,68,83,51
13:00,19,11,41,42,27,56,82,61,27,50,24,38,38,39,43,63,65,76,78,55
14:00,22,7,38,38,21,70,71,56,49,53,33,35,53,65,43,55,64,71,83,58
15:00,19,9,21,31,40,84,73,76,52,39,29,40,62,55,81,87,54,95,97,71
16:00,15,4,19,42,31,71,97,102,56,56,42,37,74,61,61,75,75,86,129,65
17:00,11,5,16,36,21,62,75,80,48,52,16,34,72,60,69,64,57,52,104,52
18:00,4,2,22,26,12,38,68,76,53,47,22,32,51,41,51,73,54,63,63,41
19:00,6,4,11,23,27,39,41,52,37,34,8,11,45,46,43,54,48,42,26,25
20:00,5,4,14,24,24,30,44,49,35,22,4,6,17,40,27,44,45,36,32,10
21:00,6,5,29,15,26,45,37,61,21,11,11,7,9,19,30,12,9,5,7,6
22:00,7,15,25,27,19,42,47,29,15,11,7,6,4,7,28,12,4,3,1,0
23:00,9,7,26,28,21,48,41,16,17,6,5,7,4,14,19,4,2,2,5,1
