Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,1,17,19,33,1,20,2,21,21,24,26,40,49,53,56,47,46,30
01:00,0,0,0,14,8,40,66,19,4,14,19,23,38,103,87,68,125,66,84,59
02:00,0,0,0,12,4,14,43,7,6,17,15,20,39,129,127,84,128,77,84,69
03:00,0,0,3,5,2,12,32,4,7,47,12,13,34,160,183,110,118,82,72,86
04:00,0,0,0,4,1,14,23,13,4,26,20,14,17,129,117,111,121,87,87,67
05:00,0,0,0,0,4,7,14,6,9,12,22,12,25,162,159,136,140,86,78,93
06:00,0,1,0,1,8,13,19,5,7,11,28,28,50,217,188,159,162,96,58,83
07:00,1,0,4,1,2,21,37,12,6,17,20,32,56,255,205,144,184,98,82,90
08:00,4,6,4,17,6,16,34,19,19,30,46,87,123,230,217,190,225,104,83,79
09:00,4,10,10,11,23,20,124,68,62,71,58,126,173,181,185,151,170,88,68,64
10:00,2,8,13,21,36,24,38,55,37,93,82,163,158,118,123,72,138,64,58,46
11:00,11,8,16,22,34,32,49,73,49,86,74,137,169,69,81,74,87,51,25,30
12:00,2,10,18,29,35,35,27,55,54,94,93,151,166,81,78,59,54,32,15,25
13:00,2,17,11,27,36,54,50,63,53,61,77,154,155,64,60,48,66,60,21,25
14:00,6,13,31,35,49,27,61,79,101,104,102,170,152,49,55,43,42,40,19,17
15:00,12,15,22,27,38,63,70,72,57,108,112,185,204,51,67,49,30,48,24,22
16:00,9,18,22,41,60,34,21,78,64,89,73,138,176,60,57,53,13,29,24,20
17:00,0,6,17,25,30,29,53,45,81,70,66,96,155,44,35,30,23,20,30,17
18:00,1,4,11,19,25,10,31,41,28,77,38,63,57,21,30,50,29,15,33,22
19:00,0,1,4,35,20,23,17,33,19,25,22,64,48,9,14,86,27,21,37,19
20:00,0,0,6,18,32,19,14,31,16,19,29,31,20,16,10,32,26,33,20,13
21:00,0,1,7,24,21,17,21,17,14,20,20,26,30,15,15,19,28,27,24,23
22:00,0,2,2,36,50,32,18,19,8,21,16,19,23,25,27,14,18,20,27,28
23:00,0,1,2,20,29,22,8,5,8,8,11,18,33,36,29,24,45,22,20,10
