Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,11,40,12,33,40,47,51,20,63,35,17,25,27,16,15,9,8,3,4,7
01:00,3,9,8,16,25,20,22,18,20,31,37,9,19,9,14,9,22,3,9,6
02:00,2,3,2,14,14,10,6,13,15,18,15,16,11,5,10,7,5,6,16,2
03:00,1,2,5,10,1,2,4,6,35,16,19,20,21,17,15,8,21,16,34,39
04:00,0,7,2,4,1,2,4,12,43,13,29,40,60,58,67,73,80,137,200,204
05:00,0,2,0,1,0,1,2,15,43,24,28,48,67,69,92,100,106,177,224,240
06:00,1,3,3,5,1,0,2,5,37,12,32,63,54,88,108,106,118,207,273,272
07:00,2,8,9,0,0,0,2,8,45,22,25,50,59,72,86,101,125,225,241,250
08:00,10,53,30,5,0,1,4,7,35,20,36,31,27,23,55,76,93,110,130,151
09:00,40,77,37,5,8,0,17,9,48,41,49,77,74,80,96,122,136,171,255,243
10:00,60,122,71,28,47,19,65,28,73,67,62,120,89,111,109,118,162,226,258,302
11:00,55,109,95,63,119,84,76,60,87,119,103,120,87,106,118,150,197,234,350,313
12:00,66,127,89,79,177,80,102,82,120,140,105,112,91,149,116,110,105,212,287,219
13:00,40,177,78,113,162,104,109,89,163,129,80,68,52,101,122,50,67,70,56,72
14:00,52,123,102,97,185,107,145,46,157,147,87,57,17,44,55,44,42,19,33,48
15:00,58,133,125,88,134,121,97,39,133,115,92,48,26,72,29,39,24,17,55,37
16:00,76,163,97,93,155,113,109,49,151,143,90,55,34,55,35,23,30,7,42,78
17:00,54,120,121,92,133,109,84,53,97,75,53,29,45,18,33,17,25,9,33,65
18:00,66,117,76,88,196,140,115,50,78,65,49,20,25,28,26,17,10,11,42,38
19:00,36,64,56,72,91,105,93,47,64,47,37,21,21,18,19,18,5,9,40,21
20:00,20,52,28,59,32,48,48,19,59,33,23,29,31,24,30,8,12,12,29,7
21:00,36,49,26,23,31,39,29,7,50,27,14,15,20,12,23,4,5,1,12,2
22:00,58,40,35,35,59,65,54,35,73,62,23,30,10,19,18,9,3,2,9,4
23:00,32,52,27,31,50,40,45,24,90,56,24,15,21,23,10,11,23,4,3,6
