Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,1,3,4,1,0,2,1,2,1,0,1,13,9,22,15,15,14,14,16,10
01:00,3,3,0,0,1,0,4,1,2,1,0,13,5,5,7,15,12,9,20,8
02:00,2,0,0,0,1,0,3,6,4,3,1,0,0,0,6,8,3,8,12,2
03:00,0,2,0,0,0,0,0,2,5,0,0,6,2,4,1,3,11,8,7,3
04:00,0,3,0,0,2,0,2,7,7,0,0,2,1,8,3,17,3,3,1,4
05:00,0,2,1,2,2,4,2,6,12,0,1,6,9,6,4,4,3,6,4,11
06:00,0,2,1,8,2,11,3,13,6,0,1,3,4,14,1,10,7,4,4,4
07:00,2,2,2,6,3,10,6,10,4,2,2,5,7,21,3,4,11,8,5,2
08:00,12,7,4,22,7,17,6,21,11,14,2,3,16,20,6,4,14,11,9,9
09:00,22,17,21,16,22,46,29,40,23,24,45,10,35,19,9,12,13,14,17,8
10:00,28,23,31,26,33,61,33,42,41,54,47,38,19,22,16,16,23,16,14,4
11:00,25,27,28,37,43,69,68,58,31,64,68,67,52,31,27,27,51,48,41,29
12:00,23,34,43,35,45,67,47,57,32,51,55,65,50,27,25,45,32,40,52,20
13:00,31,35,42,48,47,54,38,41,44,27,40,66,55,21,25,45,29,68,53,25
14:00,30,46,34,50,37,72,42,55,39,38,48,87,56,48,41,31,48,31,38,30
15:00,42,45,51,48,48,59,44,49,44,31,50,53,40,31,15,27,48,21,41,27
16:00,44,49,47,65,48,70,53,45,30,38,53,54,56,32,29,34,52,29,39,26
17:00,51,50,46,69,56,61,49,32,40,31,42,61,53,41,35,32,44,26,81,42
18:00,27,40,37,34,50,50,33,34,33,26,19,59,49,52,32,37,40,40,54,35
19:00,9,23,26,16,40,27,27,28,9,18,18,45,26,24,47,35,17,24,48,29
20:00,24,22,18,15,16,33,18,22,19,17,39,9,14,30,14,25,19,26,38,30
21:00,16,39,12,13,25,28,10,11,13,16,28,42,19,41,14,48,29,19,51,35
22:00,12,17,7,4,9,7,26,7,3,5,10,37,30,29,30,46,40,25,52,37
23:00,3,17,4,2,6,2,7,8,5,3,3,26,25,10,17,37,9,31,33,47
