Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,13,11,49,3,6,11,8,15,37,42,45,27,5,6,5,33,23,37,16,35
01:00,24,9,20,16,20,5,16,17,33,14,40,27,3,3,11,14,8,35,17,32
02:00,6,2,33,11,15,28,11,7,23,16,40,50,5,3,2,9,18,26,13,42
03:00,9,6,22,11,14,47,3,30,52,27,18,29,14,6,2,11,23,32,28,98
04:00,10,13,21,11,18,66,56,30,40,16,29,74,19,13,4,14,19,60,78,51
05:00,17,11,30,33,14,105,33,41,58,21,32,63,41,19,12,40,45,45,62,70
06:00,26,32,43,34,7,51,65,37,83,37,36,50,42,31,36,31,41,55,61,86
07:00,40,43,89,58,30,25,361,38,57,60,39,12,53,58,71,70,62,51,44,87
08:00,50,52,78,82,14,45,39,15,30,86,47,27,16,56,88,77,82,78,75,77
09:00,48,58,151,118,15,43,20,87,34,25,34,62,47,77,110,85,90,90,74,72
10:00,61,56,159,146,29,59,27,61,18,31,37,7,36,61,83,64,115,115,75,133
11:00,70,56,147,129,28,20,34,35,30,29,25,58,55,61,99,93,113,139,50,74
12:00,102,45,152,112,14,31,25,38,37,21,36,20,50,47,121,117,88,111,62,57
13:00,64,52,188,107,18,78,114,46,18,46,44,7,23,30,67,92,134,88,29,57
14:00,58,70,126,89,30,36,49,38,12,61,22,16,14,36,72,100,93,128,35,38
15:00,36,26,115,115,18,95,16,39,23,5,10,15,13,42,94,103,122,140,50,47
16:00,30,16,48,48,10,15,9,80,6,15,12,8,7,27,80,74,98,146,64,55
17:00,51,40,52,80,10,41,3,32,9,18,21,7,34,31,100,80,117,148,65,40
18:00,35,32,76,72,30,63,9,24,6,19,21,3,10,28,73,65,123,117,43,56
19:00,48,27,63,40,61,75,29,47,16,3,9,6,16,17,23,35,72,118,33,49
20:00,36,21,74,53,19,26,4,22,12,0,4,10,5,7,18,30,49,96,20,33
21:00,28,22,58,13,41,34,22,30,10,0,12,7,2,4,18,12,37,81,33,33
22:00,22,22,51,12,6,39,0,18,7,18,8,49,7,2,13,10,23,123,12,28
23:00,10,9,38,14,3,35,1,15,22,15,12,43,18,3,10,17,28,53,10,19
