Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,76,223,170,162,166,146,213,447,169,203,180,233,189,195,259,293,481,487,496,464
01:00,64,172,143,118,152,150,131,206,198,249,310,290,211,177,311,319,403,357,269,340
02:00,58,122,83,74,90,106,66,182,223,217,253,265,247,263,215,191,340,252,340,364
03:00,31,66,36,31,34,45,37,125,158,162,242,173,164,273,210,198,269,247,293,375
04:00,13,16,8,33,18,27,9,35,110,160,156,207,187,209,145,143,244,207,195,311
05:00,3,6,8,7,21,12,2,12,64,105,115,174,98,93,78,141,205,106,83,177
06:00,0,7,4,5,10,5,5,5,40,75,82,68,60,54,37,66,125,90,95,89
07:00,0,5,3,10,15,9,20,22,40,81,51,20,26,30,34,49,83,64,56,51
08:00,1,2,16,30,33,47,73,92,39,53,31,24,8,35,25,66,76,86,79,48
09:00,1,6,25,40,27,79,153,170,59,96,17,24,31,32,63,92,90,127,103,112
10:00,2,11,48,61,26,98,160,175,129,81,98,82,75,87,163,177,182,298,229,195
11:00,16,25,78,77,52,107,222,258,272,212,173,189,154,228,359,432,340,467,483,370
12:00,19,65,127,103,72,142,233,319,226,271,233,317,290,469,562,587,425,617,729,528
13:00,58,68,137,116,60,141,171,228,272,303,309,443,470,566,699,648,593,864,911,715
14:00,50,105,178,104,58,147,162,255,232,345,356,468,431,559,725,704,747,895,733,682
15:00,60,135,206,127,86,156,164,312,234,290,289,350,422,448,521,870,697,795,703,656
16:00,55,127,196,118,75,186,212,301,263,333,281,334,400,430,618,742,909,875,884,750
17:00,60,132,228,109,68,187,201,366,266,435,349,411,395,460,593,779,826,998,908,785
18:00,93,124,175,114,99,192,251,363,269,393,306,400,395,399,545,785,656,905,789,645
19:00,84,180,197,150,132,196,271,441,287,357,360,366,400,356,597,588,660,799,678,528
20:00,72,196,177,138,117,161,213,396,266,312,238,338,370,309,460,635,675,674,584,560
21:00,88,206,118,163,115,133,193,250,210,222,274,340,346,307,458,610,717,722,626,563
22:00,86,208,120,170,135,139,225,347,238,211,279,354,350,306,400,480,469,574,434,544
23:00,103,239,131,204,160,164,217,443,149,238,245,258,243,278,290,347,451,510,409,544
