Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,6,14,35,51,55,18,42,45,34,32,29,19,12,20
01:00,0,0,0,0,0,0,3,11,23,56,48,34,35,56,29,25,25,21,16,18
02:00,0,0,0,0,0,0,0,7,40,37,45,16,38,28,21,8,21,17,7,10
03:00,0,0,0,0,0,0,1,2,25,47,29,17,30,14,14,22,22,18,8,13
04:00,0,0,0,0,0,0,0,5,4,31,24,16,22,15,14,11,7,4,9,4
05:00,0,0,0,0,0,0,2,5,12,25,18,12,32,15,7,1,9,6,3,3
06:00,0,0,0,0,0,0,0,6,9,11,13,10,25,3,4,4,5,3,1,5
07:00,0,0,0,0,0,0,0,0,3,5,6,8,11,7,2,4,1,0,2,3
08:00,0,0,0,0,0,1,3,2,3,5,6,3,9,6,3,3,0,2,4,0
09:00,0,0,0,0,0,1,11,1,1,4,5,9,10,7,1,3,8,4,1,7
10:00,0,0,0,0,0,3,9,4,3,11,13,9,16,11,4,12,10,9,8,10
11:00,0,0,0,0,0,7,9,11,12,12,16,3,20,8,14,22,10,22,12,16
12:00,0,0,0,0,0,6,24,6,2,24,25,9,28,14,18,13,24,17,13,15
13:00,0,0,0,0,0,2,8,5,8,38,48,9,18,18,17,20,12,21,15,24
14:00,0,0,0,0,0,2,9,7,6,45,41,14,16,26,24,21,21,33,15,19
15:00,0,0,0,0,0,4,13,13,18,72,72,21,23,35,31,22,42,32,21,38
16:00,0,0,0,0,0,4,5,11,49,79,81,23,25,31,48,32,52,44,20,41
17:00,0,0,0,0,0,0,3,17,41,80,72,23,35,54,46,50,65,52,37,52
18:00,0,0,0,0,0,0,6,10,37,73,54,14,31,33,35,16,50,44,36,33
19:00,0,0,0,0,0,2,10,22,43,77,80,54,42,48,48,32,46,23,38,38
20:00,0,0,0,0,0,0,5,15,60,96,72,45,43,52,36,34,52,35,30,34
21:00,0,0,0,0,0,0,6,11,41,82,44,34,41,49,52,42,50,38,23,28
22:00,0,0,0,0,0,0,3,14,31,64,51,30,29,52,34,31,49,43,27,23
23:00,0,0,0,0,0,0,2,10,27,59,45,24,38,47,44,37,21,30,22,20
