Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,278,198,188,139,117,189,177,206,242,241,254,275,200,281,212,177,236,323,216,166
01:00,203,182,168,89,112,162,137,207,169,189,182,208,169,249,216,108,172,250,237,168
02:00,157,144,139,43,66,131,138,126,138,168,136,137,121,231,139,136,144,360,279,268
03:00,116,131,89,39,79,81,124,146,159,149,107,121,109,113,86,132,123,263,446,256
04:00,113,90,54,47,45,85,96,172,142,151,88,100,99,120,87,107,111,368,332,220
05:00,116,127,58,44,59,121,86,167,130,146,123,102,111,64,82,126,95,358,452,297
06:00,91,108,81,83,84,160,149,204,167,164,150,159,123,138,130,114,121,392,350,271
07:00,91,118,100,69,117,216,161,189,148,206,210,205,190,220,157,151,224,443,417,270
08:00,158,162,120,144,122,213,185,209,199,249,286,277,298,253,288,305,294,477,420,321
09:00,202,189,156,162,122,221,232,257,242,341,388,362,438,448,466,426,458,452,512,313
10:00,204,212,154,182,195,262,341,253,302,393,496,559,612,521,612,568,543,475,534,376
11:00,254,252,247,170,261,361,389,306,366,436,570,603,638,543,601,610,622,519,519,311
12:00,312,271,254,192,243,391,391,274,361,386,523,685,636,639,603,550,575,575,464,299
13:00,349,328,274,202,254,384,413,306,378,420,510,752,662,645,661,509,560,439,415,279
14:00,361,356,285,229,299,379,393,292,378,446,535,670,713,702,641,562,586,408,415,295
15:00,304,307,252,240,238,331,398,308,370,462,527,791,705,567,604,527,610,456,416,317
16:00,267,297,213,169,196,361,382,307,348,488,482,558,716,517,646,534,610,496,429,284
17:00,302,275,199,155,176,213,398,230,342,400,503,631,573,554,532,448,550,407,376,263
18:00,254,224,210,147,155,187,339,282,336,370,413,490,501,426,427,394,427,375,348,301
19:00,227,232,129,164,147,157,269,223,289,309,343,534,502,351,416,398,442,346,277,293
20:00,263,191,168,153,113,213,263,207,264,354,408,514,492,526,480,420,434,309,222,224
21:00,297,199,179,150,164,264,306,272,295,361,423,503,398,701,455,476,418,324,257,171
22:00,322,179,185,162,189,273,283,254,378,342,395,533,433,595,501,449,516,280,243,176
23:00,327,222,157,155,147,216,266,234,289,301,384,412,315,413,393,300,360,375,219,176
