Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,9,25,36,47,23,67,28,100,39,60,43,41,88,98,43,57,46,47,19,21
01:00,9,29,23,22,31,44,23,117,40,48,31,49,127,78,41,84,66,69,29,17
02:00,6,12,24,30,32,45,11,113,48,45,21,42,69,61,47,94,96,68,51,22
03:00,358,318,25,17,224,110,12,97,20,29,15,16,28,34,13,89,83,68,49,37
04:00,0,14,13,17,25,32,0,38,9,13,6,2,2,7,14,70,95,93,47,49
05:00,1,14,7,15,5,14,3,16,5,2,1,1,3,0,12,114,100,89,64,64
06:00,0,7,1,5,0,168,327,66,2,0,0,0,6,1,11,96,82,76,42,59
07:00,0,1,0,0,0,3,0,0,5,8,0,1,12,3,10,89,86,92,62,56
08:00,3,0,0,0,2,1,0,0,5,28,1,4,11,5,11,108,78,91,40,51
09:00,14,3,8,19,8,41,5,4,18,59,14,17,8,21,16,117,111,99,42,55
10:00,38,2,6,29,10,31,12,32,25,67,41,29,42,51,18,97,120,57,36,40
11:00,43,3,7,32,21,24,18,44,29,88,59,53,47,68,36,82,126,56,59,55
12:00,38,7,14,37,44,42,17,84,33,90,48,93,87,138,64,87,118,34,34,84
13:00,43,11,15,36,59,53,36,111,44,82,76,104,136,120,55,68,73,22,17,53
14:00,36,15,37,36,44,52,38,113,50,107,66,108,146,134,52,55,58,30,33,40
15:00,38,27,32,44,46,73,33,131,62,124,86,118,121,114,59,52,39,24,24,47
16:00,32,35,52,50,49,94,39,102,49,114,93,134,140,169,89,60,51,17,13,36
17:00,34,28,55,58,59,79,35,140,40,106,82,129,111,157,62,71,45,13,19,18
18:00,33,43,52,74,84,85,44,151,58,117,93,125,125,147,59,84,43,12,17,29
19:00,31,30,51,48,64,76,26,133,44,128,77,109,121,175,102,74,40,15,11,22
20:00,39,49,44,71,65,97,22,107,49,105,70,115,168,176,88,56,49,19,9,27
21:00,35,35,76,45,44,74,25,99,46,70,73,88,119,152,92,62,69,25,7,20
22:00,12,38,47,29,32,51,15,87,28,70,57,66,94,91,36,30,32,18,20,16
23:00,9,38,30,36,25,55,15,76,34,61,29,61,93,103,41,32,29,23,8,24
