Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,1,2,2,1,22,14,27,27,38,27,15,34,50,26,31,12,12,20,30,42
01:00,1,2,2,1,15,23,23,17,40,19,16,33,46,27,27,5,14,31,57,52
02:00,2,2,5,0,6,15,20,14,42,15,7,33,35,24,22,0,11,12,44,31
03:00,2,4,1,2,4,15,15,23,33,9,8,20,28,14,8,1,6,9,41,33
04:00,0,0,1,1,2,6,44,7,34,8,4,25,14,12,12,0,2,3,33,26
05:00,0,0,1,1,0,1,16,9,31,8,6,18,7,10,8,5,3,4,35,19
06:00,0,0,0,1,1,7,4,12,31,10,0,12,6,7,6,3,6,9,36,20
07:00,0,0,3,1,1,1,0,9,32,7,5,9,6,3,4,5,9,7,22,23
08:00,3,1,1,2,4,6,3,10,25,4,4,9,7,5,8,4,11,5,32,14
09:00,12,5,4,6,6,12,3,13,25,8,8,13,14,5,14,4,8,0,28,17
10:00,13,39,9,14,17,22,11,7,34,17,7,12,14,12,20,12,14,9,21,27
11:00,20,38,22,19,39,24,15,36,39,9,10,21,17,8,21,11,15,37,27,31
12:00,17,36,26,22,65,52,30,85,79,33,19,26,27,21,31,7,17,24,43,57
13:00,22,21,10,21,48,40,53,62,84,28,29,28,33,29,42,14,19,22,44,40
14:00,22,20,18,11,47,44,67,70,87,21,19,47,51,24,44,14,27,32,38,36
15:00,21,17,17,13,44,54,105,42,94,33,21,48,69,24,72,23,19,18,23,39
16:00,22,25,19,23,51,59,73,66,59,21,23,65,84,31,58,14,26,26,33,37
17:00,25,24,10,30,51,61,96,65,64,31,35,42,54,26,43,11,25,33,27,43
18:00,12,9,11,8,31,47,91,70,94,35,11,48,46,27,64,11,17,30,42,35
19:00,11,10,11,1,22,30,108,71,70,23,12,67,66,32,71,15,14,22,19,37
20:00,3,8,5,5,35,27,92,70,55,39,20,61,72,36,46,11,10,21,27,33
21:00,4,7,3,4,27,23,111,34,34,34,10,47,75,38,62,11,5,25,36,29
22:00,7,2,2,6,29,39,39,35,45,22,10,55,64,30,56,15,14,24,15,35
23:00,5,3,5,4,32,36,31,41,65,20,22,41,77,23,40,22,17,20,21,25
