Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,171,231,126,156,240,201,168,147,148,175,198,87,45,27,26,22,0,0,0,0
01:00,176,195,75,133,208,195,124,104,117,187,129,42,26,10,28,11,0,0,0,0
02:00,172,164,49,92,181,153,80,82,96,171,87,25,49,20,17,24,0,0,0,0
03:00,124,116,34,54,112,128,57,98,108,137,50,57,23,22,22,16,0,0,0,0
04:00,73,71,32,45,67,63,19,43,94,161,37,16,26,17,27,30,0,0,0,0
05:00,49,53,16,14,64,51,16,61,95,117,37,30,19,12,9,19,0,0,0,0
06:00,13,27,9,13,28,47,19,67,76,98,40,59,38,28,15,18,0,0,0,0
07:00,57,57,12,25,35,36,24,41,95,107,52,124,90,69,36,64,0,0,0,0
08:00,79,62,24,40,58,66,72,84,62,78,104,97,55,63,45,45,0,0,0,0
09:00,97,104,71,54,131,157,131,97,86,68,121,91,70,90,58,67,0,0,0,0
10:00,142,121,153,106,147,209,196,132,115,80,168,130,59,72,88,86,0,0,0,0
11:00,115,145,164,103,193,235,236,145,155,120,208,155,79,77,71,78,0,0,0,0
12:00,116,180,165,128,243,255,219,138,144,151,228,127,52,71,80,70,0,0,0,0
13:00,172,223,200,160,285,260,290,154,121,170,181,100,44,63,93,93,0,0,0,0
14:00,165,312,214,150,256,277,238,145,156,179,164,124,73,55,97,50,0,0,0,0
15:00,172,265,197,191,291,348,240,192,186,249,249,118,62,43,89,87,0,0,0,0
16:00,265,323,194,158,311,280,268,208,185,234,228,105,56,80,87,93,0,0,0,0
17:00,178,293,233,158,289,354,271,206,147,231,192,132,71,67,81,66,0,0,0,0
18:00,176,265,194,147,227,309,294,186,154,217,225,180,95,80,97,106,0,0,0,0
19:00,131,237,163,186,283,269,322,238,124,233,170,152,85,67,125,94,0,0,0,0
20:00,126,183,187,168,249,261,284,225,132,193,119,107,81,84,84,48,0,0,0,0
21:00,131,168,207,138,232,266,252,237,186,197,116,131,63,55,58,80,0,0,0,0
22:00,160,161,179,172,291,303,285,220,129,193,144,151,73,90,53,65,0,0,0,0
23:00,176,219,156,166,320,278,213,176,172,241,230,125,51,48,39,31,0,0,0,0
