Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,33,28,17,12,16,35,11,20,32,14,15,22,22,51,20,16,17,46,96,35
01:00,27,18,6,9,2,16,11,8,20,9,13,5,17,16,22,9,21,7,39,8
02:00,8,4,6,5,0,2,1,14,3,6,4,1,10,4,18,10,4,4,15,4
03:00,0,4,0,2,0,4,0,2,1,3,0,1,2,0,5,1,1,0,3,0
04:00,2,0,1,0,0,3,0,0,0,2,1,2,1,2,6,2,3,1,0,0
05:00,0,0,0,0,2,1,2,1,0,0,0,3,1,1,0,1,1,0,0,0
06:00,0,0,0,0,2,1,3,2,3,5,13,1,1,5,3,0,1,0,0,1
07:00,2,1,2,1,3,25,16,8,17,28,40,11,3,7,10,6,2,4,14,17
08:00,15,13,17,12,31,65,43,30,64,60,98,22,13,37,24,23,18,41,81,33
09:00,35,33,55,68,40,143,102,89,149,171,227,108,96,139,183,195,83,126,261,93
10:00,41,42,62,85,86,187,144,140,209,284,339,327,288,331,247,316,164,182,388,145
11:00,59,73,91,96,67,182,151,204,236,280,392,506,489,535,476,507,214,264,496,211
12:00,78,81,68,108,80,184,106,168,203,247,270,479,554,661,554,535,190,292,573,204
13:00,83,65,75,98,64,113,112,141,204,232,285,415,468,541,538,587,196,358,561,236
14:00,100,59,70,108,71,147,147,148,240,246,287,349,477,449,524,457,177,276,515,204
15:00,96,97,81,90,93,164,136,201,247,296,304,483,553,557,547,484,182,268,499,183
16:00,100,89,78,99,74,138,152,178,278,267,298,588,570,522,579,542,207,283,564,213
17:00,64,83,60,56,97,154,72,112,143,99,151,490,531,625,594,578,207,334,536,254
18:00,54,66,39,40,57,104,52,52,90,63,72,269,381,457,469,470,201,231,348,225
19:00,33,33,29,34,40,76,26,41,69,53,30,100,140,230,201,213,124,105,315,200
20:00,34,24,19,27,16,56,21,42,39,21,42,48,71,99,121,109,61,59,248,93
21:00,40,12,13,15,29,61,29,32,22,25,25,42,64,62,51,64,38,59,127,45
22:00,42,27,19,18,27,57,23,25,27,30,24,40,49,49,30,22,22,55,122,42
23:00,47,27,25,16,20,39,20,39,34,15,14,25,32,58,27,25,26,77,106,35
