Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,3,6,11,22,31,35,12,15,8,6,21,12,4,3,6,11,9,11,15,17
01:00,11,12,14,19,37,38,10,29,2,6,12,4,3,1,15,15,12,7,9,16
02:00,64,68,54,45,44,51,18,35,18,26,18,14,5,32,17,26,17,15,20,16
03:00,101,175,87,100,163,142,61,127,60,67,73,33,34,31,56,31,43,23,28,14
04:00,106,172,92,123,129,105,72,200,78,93,97,58,53,83,89,74,72,60,63,26
05:00,163,226,109,147,144,134,130,330,107,108,113,100,138,136,186,130,81,86,59,49
06:00,204,258,142,151,162,170,155,356,92,129,135,135,160,124,156,141,67,70,66,43
07:00,183,193,97,151,162,154,132,318,108,119,115,132,130,90,100,103,51,90,61,38
08:00,152,193,85,124,143,158,109,255,88,118,90,93,110,94,129,88,63,60,62,25
09:00,202,232,117,132,120,151,128,278,122,123,115,147,171,149,142,113,73,45,61,46
10:00,192,248,97,119,117,179,126,390,109,104,136,175,169,142,149,129,72,77,88,29
11:00,208,219,109,119,127,178,133,368,121,112,125,135,160,132,149,154,60,80,59,46
12:00,178,240,83,109,115,121,104,269,72,62,131,124,140,123,122,147,88,82,74,45
13:00,144,145,92,94,105,96,96,229,54,88,80,96,115,114,115,95,48,51,62,47
14:00,144,149,61,75,148,87,60,131,44,61,67,56,51,81,60,62,42,38,77,47
15:00,141,110,46,32,105,63,32,91,53,33,53,32,32,52,52,52,35,52,70,38
16:00,87,110,366,57,76,25,33,77,51,48,38,42,54,26,37,67,52,63,58,62
17:00,91,70,18,16,223,106,68,103,20,37,53,48,51,33,40,86,51,74,74,56
18:00,67,57,28,311,196,332,184,74,19,41,52,60,38,48,45,44,47,54,35,42
19:00,38,40,10,10,173,91,52,62,11,47,54,53,66,29,20,63,26,25,37,34
20:00,12,26,8,57,220,306,338,387,129,25,62,27,25,24,16,28,11,14,25,18
21:00,360,322,2,3,5,5,7,18,15,21,20,19,27,14,13,17,10,8,9,18
22:00,8,4,4,6,10,3,11,11,10,4,23,12,7,7,16,10,2,6,5,7
23:00,2,2,5,11,16,17,10,9,5,2,20,9,3,5,9,7,3,6,6,13
