Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,9,19,19,7,12,27,42,38,31,79,63,47,60,37,8,17,61,3,39
01:00,0,1,0,6,12,15,18,26,26,32,118,31,61,61,44,13,24,54,9,39
02:00,0,5,1,3,5,14,23,21,19,28,70,32,47,82,29,11,11,40,11,15
03:00,0,3,1,8,5,4,14,10,33,24,46,6,37,36,15,9,7,26,20,30
04:00,1,0,2,0,2,5,5,5,9,15,16,23,27,30,60,12,7,12,16,16
05:00,0,0,0,0,2,3,0,0,3,9,18,41,34,44,52,29,16,14,21,4
06:00,0,0,0,1,2,14,0,0,10,17,9,50,36,40,52,43,22,17,19,9
07:00,0,0,0,2,3,10,10,2,7,13,9,22,39,28,46,41,23,17,11,12
08:00,0,0,1,0,8,22,22,5,7,13,2,47,54,34,66,55,24,17,21,18
09:00,2,0,0,5,9,14,29,15,17,22,18,57,46,57,76,58,17,23,18,13
10:00,0,0,2,4,17,31,60,34,34,42,33,45,72,61,59,42,22,21,29,13
11:00,3,0,3,7,29,32,63,45,53,46,110,139,76,71,55,42,18,45,24,16
12:00,4,4,6,9,17,45,73,45,95,77,132,115,87,67,55,15,15,47,9,20
13:00,10,14,7,8,37,54,77,52,105,99,178,132,121,73,61,13,17,49,7,20
14:00,18,19,8,20,39,54,99,126,85,112,105,98,78,56,47,33,21,19,10,19
15:00,24,30,18,27,42,47,132,96,84,97,133,145,120,86,42,35,21,38,17,63
16:00,29,35,20,36,44,63,144,117,91,98,157,165,130,81,36,26,22,57,23,60
17:00,29,28,25,44,39,67,79,76,62,70,134,157,143,84,59,33,32,49,23,36
18:00,23,40,49,38,37,35,64,63,58,76,93,130,80,68,56,33,25,54,21,38
19:00,53,48,25,35,30,33,32,64,69,43,81,67,66,63,39,32,21,34,5,22
20:00,26,23,42,24,38,23,20,41,16,32,54,53,42,73,23,10,14,41,10,17
21:00,22,29,40,23,19,29,53,50,41,27,35,39,26,69,23,6,21,22,4,20
22:00,25,13,27,23,13,24,34,42,44,26,62,53,44,59,33,3,18,28,1,18
23:00,10,28,16,20,42,29,35,40,46,47,60,47,59,67,60,8,24,53,4,44
