Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,1,2,3,0,7,7,5,3,8,4,0,5,4,0,2,1,2,3,2,4
01:00,4,1,3,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0
02:00,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,2,3,0
03:00,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
04:00,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
05:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
06:00,0,3,0,5,5,1,2,0,0,3,3,8,1,0,0,0,0,0,1,1
07:00,12,14,13,9,16,16,13,11,10,26,9,4,13,0,0,1,0,0,4,0
08:00,5,46,57,44,13,24,39,45,53,60,33,21,20,4,3,0,2,1,9,3
09:00,26,45,60,40,25,63,71,77,55,85,59,40,54,12,16,11,14,11,14,2
10:00,24,41,61,59,46,43,97,118,93,139,76,63,73,25,14,5,11,2,17,15
11:00,29,55,98,71,58,76,81,119,105,160,97,79,84,30,22,11,26,13,19,17
12:00,45,61,82,57,33,71,67,100,65,101,54,107,86,36,24,26,22,25,32,29
13:00,40,74,93,82,38,56,47,92,59,98,77,68,88,45,26,24,26,24,41,28
14:00,48,55,112,102,54,62,72,155,131,114,91,94,106,37,27,17,23,18,24,26
15:00,35,41,90,91,62,67,83,116,149,142,113,100,88,40,37,22,22,34,33,34
16:00,40,29,70,83,50,71,75,79,99,113,100,65,78,44,29,18,24,38,46,29
17:00,22,27,49,54,35,37,48,44,54,61,51,39,37,43,35,19,30,29,40,28
18:00,6,11,34,19,13,26,23,12,12,31,19,20,46,33,22,13,12,26,18,18
19:00,6,11,8,4,6,9,3,10,5,15,15,6,12,21,19,18,16,14,14,12
20:00,6,9,8,7,1,16,0,17,11,18,15,9,12,17,11,3,10,17,20,10
21:00,4,9,6,7,8,12,5,8,7,10,4,3,8,5,4,6,12,7,26,3
22:00,5,2,8,3,6,10,6,7,15,9,4,3,2,3,6,4,4,5,14,2
23:00,17,2,9,3,4,9,1,2,12,11,7,4,5,3,4,2,0,5,6,1
