Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,67,89,33,11,19,29,19,19,4,9,8,20,8,10,6,22,13,12,17,19
01:00,39,77,61,31,25,28,19,9,5,2,14,11,11,3,6,7,13,31,30,26
02:00,17,7,3,9,14,28,9,5,8,3,6,8,11,8,1,6,16,31,9,16
03:00,9,5,5,9,17,18,7,5,4,9,3,7,31,43,20,5,13,3,14,8
04:00,5,2,0,3,22,27,14,11,9,10,13,22,30,35,22,5,3,5,3,1
05:00,11,2,2,3,15,43,35,11,8,23,6,20,34,36,9,1,1,2,4,3
06:00,7,5,7,3,11,56,36,17,10,22,8,7,27,10,6,0,1,2,2,3
07:00,19,18,26,27,36,39,26,6,13,12,11,13,8,19,15,59,1,3,2,34
08:00,29,36,50,30,61,39,33,15,12,8,10,29,13,12,39,17,57,17,42,16
09:00,84,51,67,47,98,66,49,38,17,14,14,11,19,23,149,120,31,10,24,16
10:00,119,50,102,49,92,66,43,23,15,16,18,17,19,30,23,33,52,42,60,16
11:00,133,69,51,41,84,85,38,24,31,42,35,20,37,35,36,52,89,35,89,38
12:00,136,75,83,58,91,97,45,30,31,34,29,21,47,41,79,148,40,71,28,36
13:00,161,56,106,63,88,94,100,42,107,28,31,28,27,73,26,29,38,31,28,64
14:00,209,93,97,62,92,76,54,43,25,23,29,27,30,36,81,29,26,28,19,21
15:00,164,114,109,50,137,89,61,55,27,46,35,21,41,27,120,28,31,37,24,32
16:00,163,78,102,63,108,117,41,31,39,25,41,30,44,31,61,55,46,20,25,34
17:00,152,76,60,31,96,84,40,43,55,33,52,47,38,35,33,16,19,21,43,37
18:00,101,57,54,28,51,59,23,41,31,36,38,28,40,25,23,19,78,29,17,30
19:00,78,66,54,23,50,38,19,14,21,61,33,30,31,12,67,66,9,36,13,20
20:00,84,56,35,19,39,34,6,12,8,14,15,7,10,11,63,42,9,25,15,20
21:00,85,45,39,18,41,20,24,10,11,9,6,14,12,11,29,36,12,29,15,14
22:00,85,35,38,19,29,26,8,11,10,14,17,13,7,7,10,16,9,12,3,17
23:00,93,39,32,13,29,21,17,13,7,8,17,14,15,5,16,11,6,23,20,26
