Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,38,74,110,113,63,79,122,94,52,58,44,93,122,82,130,121,118,215,184,209
01:00,36,22,49,93,28,41,44,28,28,23,22,44,50,42,98,93,91,124,130,208
02:00,13,23,13,49,22,11,9,11,10,4,7,17,30,14,53,36,62,62,67,170
03:00,6,14,3,31,7,3,5,0,9,6,4,4,21,15,30,27,24,29,53,74
04:00,2,11,0,23,0,1,3,0,4,3,1,14,10,8,30,10,11,27,14,33
05:00,2,0,0,4,2,0,4,1,2,3,2,32,32,21,22,24,11,22,16,34
06:00,0,0,3,5,1,0,1,3,2,2,4,49,97,30,30,15,12,6,17,29
07:00,0,0,2,16,2,2,6,2,3,3,5,44,105,32,33,14,8,9,12,31
08:00,6,10,11,27,7,11,14,12,6,9,9,67,135,96,31,19,12,12,23,48
09:00,50,49,46,37,37,17,46,27,16,16,41,194,176,172,64,13,16,20,32,30
10:00,89,118,74,82,59,46,59,43,23,39,51,250,231,192,92,36,29,37,43,44
11:00,75,135,85,111,73,88,80,81,39,45,68,255,225,254,107,77,65,89,111,129
12:00,92,102,76,104,103,86,102,67,47,56,57,246,228,238,174,155,138,248,184,196
13:00,94,133,86,127,106,72,76,89,67,57,68,240,248,210,189,124,128,233,233,220
14:00,129,106,102,127,82,86,92,90,66,65,79,287,274,248,136,165,132,150,165,188
15:00,97,127,82,131,124,91,59,98,45,48,71,308,270,236,145,166,131,244,202,207
16:00,126,129,70,180,114,82,79,84,66,64,74,242,243,210,156,173,143,259,196,268
17:00,90,91,40,118,107,89,56,110,71,40,63,198,205,188,153,165,140,146,183,237
18:00,45,75,40,86,118,110,113,124,67,52,65,208,164,166,137,106,147,223,232,265
19:00,12,47,51,99,147,163,186,159,128,87,82,195,168,180,135,124,151,193,262,263
20:00,13,61,48,108,144,157,210,191,127,94,78,167,188,177,161,105,152,232,429,235
21:00,3,50,78,117,114,146,181,148,134,93,100,203,175,225,175,94,121,149,203,155
22:00,23,36,116,135,150,183,229,164,144,82,98,275,244,230,147,106,116,189,238,184
23:00,12,59,103,169,119,147,205,136,131,74,73,215,231,160,155,129,106,194,257,185
