Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,1,0,0,2,5,14,6,8,9,10,1,0
01:00,0,0,0,0,0,0,0,0,0,2,0,2,3,3,2,9,6,3,1,0
02:00,0,0,0,0,0,0,0,0,0,1,0,0,0,8,2,3,7,3,2,0
03:00,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,8,1,1,0
04:00,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,2,1,1,0,0
05:00,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
06:00,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
08:00,0,0,0,0,0,0,0,0,2,1,0,1,2,1,7,2,3,1,0,0
09:00,0,0,0,0,0,0,0,0,2,13,13,9,5,7,14,3,1,7,0,0
10:00,0,0,0,0,0,0,0,0,4,31,20,65,28,18,18,8,3,5,4,0
11:00,0,0,0,0,0,0,0,0,15,45,42,99,73,64,37,19,22,15,2,0
12:00,0,0,0,0,0,0,0,0,27,58,53,83,71,69,34,26,10,18,3,0
13:00,0,0,0,0,0,0,0,0,42,50,51,42,62,79,48,25,14,16,7,0
14:00,0,0,0,0,0,0,0,0,30,24,27,42,63,48,28,18,20,26,1,0
15:00,0,0,0,0,0,0,0,0,19,33,40,72,55,59,45,25,16,16,6,0
16:00,0,0,0,0,0,0,0,0,29,51,68,102,98,77,60,42,22,23,9,0
17:00,0,0,0,0,0,0,0,0,36,56,63,90,94,87,69,28,21,33,4,0
18:00,0,0,0,0,0,0,0,1,30,57,73,96,109,108,55,36,24,26,9,0
19:00,0,0,0,0,0,0,0,0,30,49,45,53,49,58,42,35,19,26,10,0
20:00,0,0,0,0,0,0,0,0,12,18,16,16,26,34,29,18,27,26,7,0
21:00,0,0,0,0,0,0,0,0,3,12,2,3,6,13,14,8,8,16,5,0
22:00,0,0,0,0,0,0,0,0,3,0,0,7,4,12,18,10,11,19,2,0
23:00,0,0,0,0,0,0,0,0,0,0,1,5,7,12,7,10,14,8,1,0
