Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,23,73,164,113,73,82,99,135,133,183,327,326,283,200,157,179,0,0,0,0
01:00,19,57,129,83,99,51,51,116,117,188,361,294,230,166,150,149,0,0,0,0
02:00,12,50,167,83,90,107,54,70,119,187,360,265,184,183,129,125,0,0,0,0
03:00,9,47,88,46,105,56,37,47,95,213,315,249,197,161,101,127,0,0,0,0
04:00,5,24,28,15,131,74,35,54,87,175,203,187,162,97,86,136,0,0,0,0
05:00,8,12,19,9,137,48,23,44,76,147,181,204,112,101,86,86,0,0,0,0
06:00,22,14,31,19,128,97,37,45,77,163,182,218,113,92,92,93,0,0,0,0
07:00,29,20,42,50,134,116,53,64,119,179,150,158,95,165,69,66,0,0,0,0
08:00,30,22,69,61,139,187,127,117,105,182,184,137,106,145,45,77,0,0,0,0
09:00,45,65,94,54,167,233,89,176,136,176,209,162,106,132,89,102,0,0,0,0
10:00,75,100,175,108,195,256,167,198,114,249,312,198,150,114,88,294,0,0,0,0
11:00,72,116,232,169,333,264,170,275,215,291,375,219,206,125,81,525,0,0,0,0
12:00,73,109,218,215,252,298,189,310,161,225,428,237,234,173,157,490,0,0,0,0
13:00,79,111,244,251,275,241,178,284,205,295,413,258,377,277,246,496,0,0,0,0
14:00,79,112,283,261,320,261,206,290,198,370,433,353,457,334,270,371,0,0,0,0
15:00,56,131,279,228,294,266,285,353,212,382,507,378,440,290,242,456,0,0,0,0
16:00,77,135,276,234,333,301,216,303,242,369,451,400,503,326,288,491,0,0,0,0
17:00,72,110,275,163,288,271,211,298,218,370,468,390,455,300,262,495,0,0,0,0
18:00,69,116,234,176,238,232,165,211,231,345,413,406,458,368,260,467,0,0,0,0
19:00,78,108,231,158,236,192,136,112,204,317,519,499,471,382,244,214,0,0,0,0
20:00,76,98,173,151,180,128,115,105,187,255,418,417,426,341,240,206,0,0,0,0
21:00,54,71,134,88,134,135,100,143,161,268,450,342,323,239,252,213,0,0,0,0
22:00,35,100,109,93,134,125,90,193,151,253,408,324,348,232,185,161,0,0,0,0
23:00,38,95,156,125,118,108,88,185,117,235,360,301,338,222,146,168,0,0,0,0
