Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,136,59,57,19,135,47,28,68,36,66,141,59,71,30,20,23,14,28,8,19
01:00,121,63,68,25,142,31,22,39,47,53,76,51,49,37,17,14,15,32,0,2
02:00,81,37,39,13,77,26,19,19,27,29,58,48,50,21,19,11,12,16,3,3
03:00,67,34,32,25,49,11,21,16,10,10,57,59,23,28,11,8,3,10,5,0
04:00,66,18,34,18,45,15,18,27,16,11,39,41,26,29,9,5,4,4,2,0
05:00,42,21,19,8,36,4,3,8,8,8,17,22,22,24,4,6,3,0,2,0
06:00,36,15,21,19,17,5,1,6,3,6,11,28,12,20,4,0,5,6,1,1
07:00,12,3,8,10,16,2,0,13,0,3,6,7,5,7,1,1,2,7,1,1
08:00,14,6,7,6,7,1,3,2,9,3,5,11,6,16,6,2,2,7,1,1
09:00,10,2,8,8,11,13,9,1,2,1,13,12,15,8,0,3,5,8,0,2
10:00,12,10,5,3,12,13,8,3,10,5,20,23,23,13,6,9,7,8,13,9
11:00,17,8,13,6,32,25,11,5,13,10,57,22,31,32,15,17,10,17,14,6
12:00,63,40,20,26,44,40,17,14,13,45,74,38,36,40,48,44,37,38,158,129
13:00,83,55,34,24,55,42,32,38,26,49,106,78,90,108,137,110,56,62,160,104
14:00,47,30,25,32,94,39,38,29,36,70,135,86,117,74,103,98,71,66,133,87
15:00,139,46,51,60,153,66,38,60,41,95,183,126,83,75,87,104,49,47,84,67
16:00,160,60,51,70,125,102,63,60,66,82,219,147,123,100,86,103,71,79,73,78
17:00,149,82,60,65,145,100,76,59,63,116,248,156,130,106,93,76,73,86,69,53
18:00,186,70,80,60,151,97,76,48,47,125,241,132,143,105,90,82,63,65,84,29
19:00,177,84,72,88,174,69,49,64,61,122,242,155,114,87,92,53,74,41,33,26
20:00,129,115,92,76,154,61,54,64,48,79,213,105,107,61,61,31,35,37,25,21
21:00,158,103,67,69,121,59,49,38,30,86,163,69,90,51,46,27,30,19,23,13
22:00,112,79,60,44,104,40,30,44,34,58,153,83,80,32,23,21,15,12,10,7
23:00,119,70,57,44,118,44,32,49,44,50,120,44,82,20,14,18,24,30,17,15
