Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,1,0,37,38,32,27,2,10,25,44,24
01:00,0,0,0,0,0,0,0,0,0,0,0,26,11,24,4,6,11,25,43,27
02:00,0,0,0,0,0,0,0,0,0,0,0,56,16,34,26,10,11,39,28,21
03:00,0,0,0,0,0,0,0,0,0,0,0,62,26,24,20,4,9,18,48,52
04:00,0,0,0,0,0,0,0,0,0,0,1,48,30,21,20,9,41,26,66,62
05:00,0,0,0,0,0,0,0,0,0,2,4,64,43,30,33,27,64,23,51,69
06:00,0,0,0,0,0,0,0,0,0,1,0,66,40,15,17,19,43,23,44,72
07:00,0,0,0,0,0,0,0,0,0,0,0,60,51,18,23,28,83,56,61,72
08:00,0,0,0,0,0,0,0,0,0,0,0,51,41,31,31,25,85,48,84,87
09:00,0,0,0,0,0,0,0,0,0,0,0,75,31,42,46,41,122,70,86,89
10:00,0,0,0,0,0,0,0,0,0,0,0,60,49,63,45,51,148,76,86,105
11:00,0,0,0,0,0,0,0,0,0,0,0,54,74,75,72,35,122,70,93,122
12:00,0,0,0,0,0,0,0,0,0,0,0,64,98,47,56,49,124,72,72,75
13:00,0,0,0,0,0,0,0,0,0,0,0,49,79,51,52,38,77,66,87,69
14:00,0,0,0,0,0,0,0,0,0,0,0,84,75,52,49,23,87,80,96,62
15:00,0,0,0,0,0,0,0,0,0,0,1,39,77,48,62,21,62,73,92,79
16:00,0,0,0,0,0,0,0,0,0,0,0,65,89,58,63,18,91,60,114,62
17:00,0,0,0,0,0,0,0,0,0,0,0,59,65,27,68,17,115,87,112,60
18:00,0,0,0,0,0,0,0,0,0,0,0,36,89,54,66,32,115,101,112,96
19:00,0,0,0,0,0,0,0,0,0,0,0,51,65,57,40,50,128,85,113,90
20:00,0,0,0,0,0,0,0,0,0,0,0,57,61,61,53,39,118,91,92,70
21:00,0,0,0,0,0,0,0,0,0,0,0,45,49,30,33,28,84,57,74,56
22:00,0,0,0,0,0,0,0,0,0,0,0,48,44,17,20,24,77,52,55,39
23:00,0,0,0,0,0,0,0,0,0,0,4,39,55,29,18,9,39,34,27,40
