Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,23,29,30,20,8,35,77,124,79,85,76,64,98,58,100,74,110,86,90,56
01:00,6,22,14,7,3,47,128,219,209,212,241,177,179,107,178,185,180,159,124,135
02:00,1,5,6,1,1,21,237,383,308,309,406,333,278,189,291,292,280,208,176,199
03:00,0,3,1,3,0,21,291,455,504,428,460,445,381,292,392,371,345,255,245,197
04:00,0,4,4,1,2,30,348,609,627,478,578,513,451,377,435,402,364,226,230,218
05:00,1,19,4,3,11,39,318,622,559,476,590,506,493,365,387,316,314,232,217,180
06:00,11,14,22,17,23,120,352,576,485,568,554,492,501,299,364,355,350,219,193,225
07:00,61,82,82,33,57,145,384,630,582,467,585,572,547,375,414,412,371,268,239,264
08:00,140,104,143,70,107,178,409,676,603,602,640,732,552,393,447,433,386,273,244,252
09:00,194,165,173,107,130,229,531,722,706,583,671,701,632,390,429,424,400,294,217,208
10:00,214,225,191,152,169,259,449,600,558,607,609,579,543,382,361,401,345,256,170,176
11:00,197,219,200,140,149,211,218,473,371,432,464,396,331,246,298,250,229,135,126,139
12:00,194,216,226,155,172,259,117,263,209,209,245,168,191,117,174,168,142,102,111,80
13:00,222,261,207,185,157,260,43,120,140,143,212,156,108,123,137,139,134,102,80,70
14:00,220,307,250,185,179,285,46,97,100,135,151,158,95,62,94,102,110,93,79,48
15:00,212,294,260,206,214,357,70,101,93,129,162,145,94,46,86,137,102,81,66,78
16:00,240,288,261,233,214,329,65,94,129,130,134,170,94,53,82,94,73,69,66,72
17:00,170,173,178,174,98,153,51,85,93,124,89,100,61,49,57,81,72,30,55,47
18:00,69,102,96,72,42,61,34,71,66,85,61,57,26,22,40,63,81,37,48,37
19:00,31,55,64,21,41,46,19,36,32,46,23,25,13,11,34,48,83,26,43,24
20:00,14,39,51,21,36,39,10,14,21,13,16,7,9,6,34,57,95,38,23,20
21:00,24,48,48,22,45,51,17,22,23,10,21,6,2,6,17,92,35,42,27,12
22:00,36,90,41,40,43,51,16,28,25,12,17,1,5,8,22,104,35,33,38,15
23:00,28,47,38,34,15,50,39,64,23,14,27,19,33,29,48,53,41,29,43,33
