Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46
07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48
08:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54
09:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,67
10:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,156
11:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,251
12:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,287
13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,217
14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,165
15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,188
16:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,227
17:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,158
18:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,135
19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99
20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,61
21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56
22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50
23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,34
