Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,428,835,830,761,175,53,54,74,63,64,77,92,68,41
01:00,0,0,0,0,0,0,123,321,402,135,168,101,112,261,135,114,159,109,61,73
02:00,0,0,0,0,0,0,346,791,754,406,316,248,268,350,267,338,238,276,178,184
03:00,0,0,0,0,0,0,455,1212,1235,544,459,379,398,574,357,393,355,261,214,206
04:00,0,0,0,0,0,0,514,1277,1351,523,406,372,361,494,299,345,275,279,241,168
05:00,0,0,0,0,0,0,410,966,1074,384,361,356,353,385,190,213,282,307,196,176
06:00,0,0,0,0,0,0,504,1190,1159,460,371,336,382,526,211,336,312,265,217,202
07:00,0,0,0,0,0,0,656,1503,1280,490,435,368,497,648,288,475,351,357,247,214
08:00,0,0,0,0,0,0,720,1552,1299,521,466,405,443,564,280,474,390,350,302,232
09:00,0,0,0,0,0,0,638,1373,1086,515,378,224,273,331,212,332,300,342,257,182
10:00,0,0,0,0,0,0,346,597,423,229,149,97,136,139,119,134,154,220,174,103
11:00,0,0,0,0,0,0,121,270,181,117,123,65,47,79,48,43,44,89,54,45
12:00,0,0,0,0,0,0,50,135,93,96,65,45,29,31,36,31,26,43,39,34
13:00,0,0,0,0,0,0,46,117,79,66,71,42,35,68,30,26,23,45,55,25
14:00,0,0,0,0,0,0,62,128,83,78,72,52,49,50,30,31,33,34,32,37
15:00,0,0,0,0,0,0,56,93,83,88,73,42,25,80,59,59,29,34,30,34
16:00,0,0,0,0,0,0,39,84,51,60,67,54,23,49,18,26,28,25,24,39
17:00,0,0,0,0,0,0,46,52,19,29,56,40,10,33,15,21,40,44,24,27
18:00,0,0,0,0,0,0,39,24,14,36,42,26,36,28,30,80,97,77,73,69
19:00,0,0,0,0,0,0,23,16,24,19,38,23,9,6,11,22,45,42,42,36
20:00,0,0,0,0,0,0,18,187,27,28,39,14,59,14,7,19,37,25,12,22
21:00,0,0,0,0,0,0,4,37,7,0,35,33,5,24,14,35,53,64,27,50
22:00,0,0,0,0,0,0,13,40,86,15,49,25,8,9,13,45,81,64,47,42
23:00,0,0,0,0,0,0,21,81,48,14,37,15,17,26,12,23,75,46,45,43
