Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,4399,5087,4879,5455,5841,7019,8198,9210,9182,9415,8486,7669,8191,7536,8464,7861,7463,6026,5834,5759
01:00,3618,3852,4108,4153,4773,5942,7585,8119,8266,8423,8381,7469,7488,7584,8368,7533,7139,5569,5563,5752
02:00,2831,3030,3252,3313,3623,4483,5705,7262,7553,6765,7012,6752,6555,6678,7161,6797,6579,5278,4998,5298
03:00,2749,3002,3024,2778,3504,3875,5108,6772,7308,6346,6704,6691,6405,6904,7279,6641,6472,5371,5663,6077
04:00,2514,2704,2702,2677,3085,3706,4943,6723,6763,6312,7132,7392,6672,6981,7522,6702,6469,6298,5724,5967
05:00,2630,3063,2893,2829,3293,3900,4904,6409,6783,6298,6862,6960,6562,6572,7304,6918,6758,6051,5697,5611
06:00,2776,3265,3259,3106,3493,4554,5903,6977,7149,6672,6800,7324,7087,7074,7306,7372,6916,6128,5613,5363
07:00,2859,3339,3345,3264,4012,4758,6051,7264,7316,6927,7157,7178,7547,8050,7480,7842,7515,6521,6169,5883
08:00,3649,4249,4007,4074,4916,5844,6959,8380,8167,7822,7862,7965,8095,8966,8550,8856,8391,7514,7224,6666
09:00,5093,5898,6005,5938,6550,7896,9359,10496,9964,9253,9304,9028,9518,10072,10425,10763,9658,7937,8235,7277
10:00,5980,7592,7724,7701,8430,9996,10690,11148,10653,10622,10232,10651,11119,11584,11186,12000,10879,9539,9043,8524
11:00,6649,8475,9031,8662,9483,11047,11513,11837,11521,11547,11901,12136,12844,13211,13303,13678,12709,10935,10788,9327
12:00,7003,8906,9570,9233,9958,11092,12214,12766,11370,11686,11588,12258,13365,14159,13872,13818,13157,11942,11587,10721
13:00,7176,8691,9968,9860,9892,11173,11994,12913,11433,11348,11678,12097,13281,14245,13862,13358,13640,11446,11204,10060
14:00,7481,8595,9952,9491,10122,11757,12378,12246,11753,11681,11554,11903,12481,13167,12924,12629,12703,10695,10061,9439
15:00,7609,8410,10084,10033,10523,11755,12243,13010,11862,12127,11793,12650,13556,12998,13429,13371,12553,10330,10147,9891
16:00,8261,9122,10041,10014,10786,11887,12455,12896,12233,12743,12544,12789,14413,14330,14711,14182,14121,11596,11213,10733
17:00,7482,8514,9567,9879,10420,11224,12064,12375,11711,12139,12267,12783,13857,14456,14076,14353,14425,11558,11132,10982
18:00,6160,7318,8700,9203,9517,10147,11157,11129,11035,11693,11007,11323,12815,13441,13165,13244,13385,10444,9978,9822
19:00,5394,6662,7360,7477,8652,9493,10035,10279,10075,12726,10113,10236,10708,10509,11739,11050,11523,9445,8839,8467
20:00,5045,6004,6707,6973,7542,9061,9589,10370,9610,11327,9505,8775,9888,9325,9875,9847,10236,7754,7455,7353
21:00,5226,6362,6842,6746,7126,8041,8641,8606,8861,8341,8498,8112,8430,8539,9506,9238,8540,6442,6235,5988
22:00,5023,5896,6683,6645,7233,8218,8667,8595,9210,8459,8765,8290,8631,8932,9013,8441,7869,5800,5810,6099
23:00,5148,5728,5863,6268,7010,7947,8194,8948,8724,8188,8247,7947,8727,8507,9350,8258,7893,5741,5556,5975
