Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,5,2,17,19,21,40,37,31,16,12,2,2,5,3,19,2,13,6,3,0
01:00,7,2,30,11,17,32,23,24,11,6,0,0,1,2,13,2,5,2,0,0
02:00,6,7,10,19,20,22,11,6,5,3,1,4,0,3,21,1,1,1,0,1
03:00,3,6,10,17,12,32,27,4,4,4,0,1,1,4,12,4,2,1,0,0
04:00,8,6,30,21,23,31,18,7,1,2,2,0,1,2,4,5,0,2,1,1
05:00,4,7,24,19,24,36,33,7,1,0,2,0,0,1,1,4,4,0,1,0
06:00,22,9,14,20,18,32,27,12,2,3,1,0,4,5,0,3,1,1,1,1
07:00,2,4,5,13,16,32,30,15,9,12,9,11,12,8,12,10,9,4,2,10
08:00,4,2,6,14,22,21,36,44,22,52,25,46,55,24,31,42,27,45,59,29
09:00,1,0,3,5,7,21,43,51,61,74,54,49,85,59,67,73,48,65,84,51
10:00,2,0,0,17,14,17,26,82,46,65,37,49,96,70,67,84,68,67,93,36
11:00,2,0,7,8,6,8,43,60,56,48,40,55,78,60,67,86,89,76,87,51
12:00,3,1,11,10,12,23,42,59,45,55,28,49,56,48,66,85,85,79,82,58
13:00,2,2,12,22,22,37,46,56,63,74,41,38,65,79,58,81,70,79,88,55
14:00,2,6,10,32,20,50,63,74,48,49,39,40,74,63,88,108,63,104,96,72
15:00,7,7,14,35,12,51,93,96,58,56,36,46,87,70,71,100,82,93,131,65
16:00,4,4,11,30,24,68,103,88,63,68,18,44,82,68,67,65,78,61,110,55
17:00,11,9,28,34,28,83,80,79,61,63,26,30,56,54,56,79,56,75,66,40
18:00,11,17,24,36,30,84,83,72,44,35,9,15,48,46,41,61,58,46,27,25
19:00,14,22,34,39,20,71,62,61,32,22,7,5,20,43,30,46,47,46,33,10
20:00,35,12,31,29,25,48,65,62,21,22,11,9,10,22,33,15,14,11,10,6
21:00,17,10,32,19,15,46,56,36,25,18,12,8,5,12,29,13,7,6,7,1
22:00,12,3,24,27,21,50,38,37,38,10,15,12,2,14,22,4,12,13,6,1
23:00,10,4,13,17,20,48,38,45,23,9,8,2,3,2,15,3,5,3,5,0
