Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,5,4,48,71,101,170,160,224,190,230,175,174,162,212,145,193,176,167,101,164
01:00,4,5,43,40,61,153,150,236,211,206,154,167,153,179,93,179,159,99,69,89
02:00,6,12,46,38,51,135,132,208,179,192,140,139,109,149,73,87,92,45,31,69
03:00,9,11,32,52,69,129,122,225,177,175,79,90,86,102,56,67,42,27,17,63
04:00,14,4,46,60,56,124,114,217,196,177,56,54,62,62,25,38,23,22,11,39
05:00,7,8,48,63,51,106,126,245,231,226,45,53,60,56,29,29,17,20,7,39
06:00,7,3,43,76,66,134,150,263,252,176,35,53,52,33,53,56,14,19,19,20
07:00,7,13,42,71,53,120,176,266,240,187,59,49,51,64,146,84,63,69,63,95
08:00,14,29,79,62,76,121,210,277,349,248,81,66,52,102,371,284,233,238,231,278
09:00,32,42,115,94,120,213,236,328,458,254,154,152,158,277,465,508,395,465,424,536
10:00,36,71,156,118,191,301,280,321,474,304,222,211,261,511,762,794,805,665,722,774
11:00,46,57,141,140,201,333,337,341,478,324,286,307,377,583,946,927,963,929,844,1061
12:00,65,69,158,109,152,281,273,379,517,369,347,391,354,635,969,746,968,833,896,986
13:00,61,92,135,82,156,278,255,379,523,384,371,280,250,325,621,564,743,724,722,860
14:00,65,83,115,102,144,290,295,419,559,425,463,369,328,498,883,740,821,712,794,978
15:00,61,92,123,79,151,280,280,376,528,445,498,438,341,614,966,794,1055,978,866,1166
16:00,65,75,99,96,158,274,283,350,507,356,474,384,349,666,1003,812,1086,853,900,1033
17:00,73,79,118,82,163,283,269,326,430,370,379,368,279,513,867,683,947,860,795,936
18:00,75,102,98,65,174,285,232,278,349,326,345,420,293,500,742,570,786,699,580,729
19:00,55,111,112,91,152,306,233,234,345,291,317,322,180,252,560,445,445,393,387,454
20:00,76,116,85,77,174,230,186,248,327,261,317,276,185,234,405,344,373,298,348,432
21:00,74,89,103,67,175,230,234,183,238,259,241,290,172,232,272,218,360,287,315,354
22:00,64,47,89,64,151,201,219,208,259,255,244,254,161,214,314,250,290,280,274,288
23:00,15,27,75,66,108,216,194,246,233,257,211,215,158,180,233,238,238,230,230,243
