Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,39,38,30,28,18,40,24,35,87,35,37,45,57,54,63,17,30,23,21,30
01:00,41,24,25,32,11,11,7,26,39,17,32,23,28,28,57,13,23,13,8,21
02:00,47,31,10,27,11,14,15,11,17,8,14,20,8,20,32,10,8,9,6,13
03:00,25,8,6,28,14,19,13,14,16,3,17,14,7,13,15,3,6,2,4,6
04:00,59,36,22,41,21,22,13,6,12,2,1,17,5,13,13,2,4,3,4,0
05:00,70,23,25,26,28,12,10,10,18,7,15,17,14,20,9,1,16,9,5,1
06:00,83,35,29,30,20,24,13,7,26,25,13,18,7,22,26,1,11,39,7,5
07:00,82,40,31,19,13,37,49,22,36,23,29,28,11,30,13,9,14,63,8,12
08:00,72,26,19,18,16,55,19,32,55,47,50,33,38,71,31,24,26,89,41,33
09:00,58,26,5,13,8,36,41,46,153,88,75,55,64,104,60,50,72,162,74,87
10:00,44,11,1,5,4,41,35,59,140,107,102,108,81,129,71,63,134,141,240,82
11:00,8,8,2,2,6,32,38,93,178,118,110,69,87,137,67,115,97,121,107,67
12:00,12,2,2,15,7,26,50,64,147,124,117,92,93,102,68,58,85,74,63,57
13:00,6,6,8,11,10,38,31,69,161,89,121,85,72,104,121,71,80,85,81,99
14:00,7,18,20,25,15,40,29,77,170,151,144,98,84,154,79,80,111,113,76,105
15:00,27,69,55,38,33,56,33,60,194,124,120,103,99,166,91,100,115,111,71,57
16:00,40,55,50,57,37,63,34,60,162,141,120,107,121,144,116,67,98,97,104,89
17:00,53,49,68,65,47,57,26,27,115,81,99,98,126,196,91,72,119,83,86,66
18:00,97,44,50,62,32,52,21,29,107,94,56,36,47,92,86,43,49,84,64,79
19:00,64,49,46,61,33,41,35,32,103,78,32,35,32,59,48,26,48,92,59,42
20:00,86,47,55,63,25,53,30,63,147,89,54,65,35,73,57,25,37,50,37,40
21:00,90,48,59,42,27,47,24,70,131,70,66,69,63,60,58,28,35,53,34,35
22:00,63,49,38,76,32,44,48,47,137,50,73,117,55,75,76,36,49,38,32,30
23:00,68,42,28,37,32,36,25,48,89,48,69,74,65,71,62,15,47,32,26,36
