Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,50,72,48,34,28,25,23,51,39,172,27,61,68,18,24,11,75,29,29,24
01:00,23,80,64,52,33,55,24,42,35,247,181,78,46,10,24,13,48,25,31,29
02:00,31,86,73,51,39,42,33,47,31,28,60,77,40,17,19,16,53,24,22,24
03:00,29,47,74,63,40,42,37,42,31,52,71,92,39,32,54,21,42,21,23,24
04:00,27,60,88,56,40,29,48,78,47,80,59,117,73,66,70,25,68,21,16,34
05:00,15,49,71,32,36,16,26,62,33,115,100,99,100,77,93,35,49,35,21,33
06:00,13,27,49,41,37,11,12,28,23,104,108,141,102,94,96,53,31,13,18,27
07:00,13,15,29,25,14,4,5,17,20,126,107,153,84,85,77,27,31,19,11,22
08:00,12,12,30,37,33,23,8,18,21,214,138,107,74,78,79,53,31,22,17,28
09:00,13,17,57,68,68,63,34,37,35,176,110,129,82,90,69,46,27,7,15,28
10:00,34,31,77,79,51,101,75,87,55,134,149,111,70,61,100,55,42,15,15,31
11:00,64,74,72,97,92,103,103,122,69,115,119,114,65,41,72,42,66,23,26,23
12:00,102,83,75,110,119,113,113,164,63,355,132,126,70,29,53,30,71,20,21,24
13:00,96,100,114,129,163,127,145,148,93,248,192,101,57,38,64,27,66,24,36,21
14:00,109,128,112,137,144,167,148,99,79,97,88,113,62,33,51,41,96,24,35,25
15:00,144,132,152,125,157,147,138,116,66,169,88,82,62,42,44,26,104,26,54,18
16:00,135,141,142,137,128,149,158,87,86,89,78,80,82,46,47,36,64,30,36,29
17:00,138,150,153,101,101,153,94,89,63,157,116,67,63,63,72,47,100,30,37,29
18:00,90,106,92,88,64,92,62,57,49,76,82,84,45,71,38,29,47,34,31,29
19:00,86,83,77,73,46,66,35,49,43,88,74,86,54,40,36,15,62,24,18,23
20:00,69,76,76,69,54,55,46,53,72,89,64,107,38,28,43,18,55,30,26,15
21:00,68,77,89,49,53,76,47,46,61,65,62,57,37,19,38,24,65,37,24,16
22:00,63,76,68,46,20,61,28,48,59,45,43,34,57,25,29,21,54,28,38,27
23:00,44,74,50,36,28,39,13,52,59,22,32,62,38,29,25,24,46,39,24,20
