Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,2,4,5,6,13,7,2,3,25,121,43,34,17,49,7,28,24,18,30,17
01:00,3,6,3,3,6,2,0,2,26,86,26,11,11,14,3,9,16,13,14,7
02:00,2,3,0,0,0,2,0,1,23,89,19,2,6,7,0,9,7,1,6,11
03:00,1,5,3,0,0,0,0,0,2,51,15,0,0,5,0,2,3,0,5,3
04:00,5,4,1,0,0,0,0,0,1,25,13,1,4,0,0,2,4,0,4,1
05:00,4,3,1,0,2,2,1,1,8,10,2,0,5,1,2,3,7,0,2,3
06:00,7,1,5,0,2,11,12,27,24,14,4,11,7,4,2,16,30,4,15,2
07:00,0,1,7,13,24,10,28,69,72,86,34,46,41,37,44,28,81,33,65,22
08:00,2,3,20,19,83,38,65,76,139,178,107,187,221,118,141,139,163,93,97,81
09:00,10,3,46,37,108,48,83,104,186,281,147,379,413,308,306,383,398,253,245,181
10:00,7,14,24,43,127,48,97,99,220,283,253,529,549,582,585,411,479,379,355,271
11:00,5,9,25,48,99,32,66,99,202,417,321,630,658,790,519,455,534,423,313,348
12:00,6,11,26,44,105,49,66,120,280,379,292,480,481,653,362,267,418,315,262,189
13:00,21,11,44,37,205,72,82,153,248,321,251,341,315,312,285,400,466,284,268,242
14:00,17,15,40,53,144,78,97,154,290,476,377,606,668,651,498,444,519,378,355,262
15:00,24,18,46,42,116,44,81,145,270,464,464,698,750,781,579,588,665,621,410,333
16:00,14,15,48,50,77,36,93,106,242,518,507,694,568,965,570,528,723,524,439,303
17:00,5,22,38,19,51,23,38,54,159,604,445,596,553,724,443,286,416,384,278,267
18:00,5,5,10,27,48,20,14,30,95,384,273,286,252,376,228,177,328,209,204,150
19:00,2,3,6,11,34,16,5,23,61,250,162,123,99,154,89,65,166,94,90,69
20:00,2,1,4,19,15,6,15,15,43,149,87,73,54,85,41,54,73,46,80,73
21:00,2,1,8,25,54,9,13,13,41,123,79,65,45,89,63,48,68,47,48,66
22:00,0,0,13,17,45,11,9,18,66,128,76,58,48,96,74,44,76,35,50,52
23:00,3,0,8,29,30,10,8,4,34,120,55,48,24,90,36,38,49,23,63,55
