Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,11,56,73,68,46,70,98,81,44,119,43,53,40,76,107,76,95,12,0,0
01:00,10,24,58,40,32,32,43,43,26,88,38,36,20,54,99,49,39,5,0,0
02:00,16,28,79,38,43,48,67,45,39,100,28,16,18,20,43,25,22,6,0,0
03:00,14,45,95,65,87,63,91,84,23,83,22,4,13,13,14,8,4,4,0,0
04:00,22,21,66,49,48,74,67,63,17,84,7,9,14,4,22,10,6,1,0,0
05:00,8,20,56,57,20,19,33,35,3,52,18,16,18,16,15,13,15,0,0,0
06:00,3,18,37,10,10,15,10,22,5,43,37,87,50,44,39,31,29,5,0,0
07:00,7,25,22,3,17,20,9,7,38,38,60,136,113,120,107,102,129,22,0,0
08:00,12,29,7,2,6,37,14,30,90,105,84,198,140,190,138,169,224,33,0,0
09:00,18,50,33,5,15,38,23,25,109,136,76,210,186,252,187,224,273,69,0,0
10:00,16,28,12,6,20,32,19,24,106,102,104,220,194,293,282,261,296,77,0,0
11:00,15,22,29,2,22,27,47,22,72,108,89,264,230,286,238,223,294,66,0,0
12:00,36,31,32,5,36,60,60,49,97,179,81,200,187,260,196,169,297,70,0,0
13:00,57,50,38,19,70,74,123,74,145,204,106,247,210,274,227,183,249,55,0,0
14:00,89,81,93,36,75,89,135,106,158,258,136,262,245,288,282,237,251,48,0,0
15:00,66,124,157,43,84,85,162,89,152,271,117,251,260,321,300,230,300,61,0,0
16:00,101,104,129,81,90,120,148,82,150,260,101,283,237,352,265,210,274,52,0,0
17:00,55,84,84,44,81,89,99,56,118,192,88,286,216,321,280,217,305,65,0,0
18:00,37,90,68,44,51,90,84,87,94,180,77,216,166,262,202,235,256,53,0,0
19:00,89,104,98,74,82,72,127,79,94,221,89,130,144,181,168,141,210,37,0,0
20:00,108,102,130,108,82,60,129,82,92,219,65,149,148,144,153,106,204,43,0,0
21:00,76,130,143,85,90,57,116,77,140,245,84,198,147,177,169,174,219,65,0,0
22:00,93,120,96,81,73,72,100,59,115,215,73,157,124,151,223,177,204,48,0,0
23:00,44,70,128,85,76,54,95,89,98,214,60,122,88,115,154,132,182,15,0,0
