Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,64,172,141,105,150,150,117,192,215,198,231,244,228,240,201,211,369,249,366,347
01:00,58,122,82,55,87,99,67,179,152,135,230,137,160,240,193,208,280,261,301,406
02:00,31,66,36,38,34,48,36,98,108,140,111,144,176,168,123,157,247,204,194,327
03:00,13,16,8,25,18,29,9,23,63,78,61,101,67,61,45,138,202,103,91,181
04:00,3,6,8,9,21,6,5,6,35,51,84,39,22,33,12,59,122,83,96,91
05:00,0,7,4,6,11,7,20,16,37,62,57,56,25,23,15,51,79,58,52,39
06:00,0,6,11,21,17,45,45,53,36,48,94,118,65,76,40,48,60,71,72,45
07:00,1,3,28,42,33,69,122,148,58,76,56,61,71,57,34,54,57,98,54,46
08:00,1,15,49,46,34,97,183,163,128,82,58,82,72,68,116,143,142,204,143,163
09:00,2,12,72,79,31,92,179,206,265,228,211,163,148,241,361,416,342,474,417,316
10:00,16,29,107,89,53,116,191,269,243,321,232,359,330,506,567,542,424,638,732,542
11:00,19,67,123,104,60,121,199,259,291,348,354,457,453,575,739,686,604,884,976,705
12:00,58,70,150,110,67,141,155,265,243,373,323,387,430,554,739,749,752,878,797,724
13:00,50,108,199,119,54,148,171,324,240,301,249,314,370,414,516,830,697,817,647,632
14:00,60,136,212,130,82,172,213,271,263,351,320,315,425,438,605,748,886,847,867,750
15:00,55,122,224,99,75,199,210,358,272,498,399,444,429,466,616,756,838,982,876,796
16:00,60,127,200,100,70,163,205,309,276,405,328,413,387,438,559,790,673,929,839,681
17:00,93,121,169,110,97,184,233,366,297,401,385,387,405,379,649,606,652,836,727,527
18:00,84,172,152,163,130,180,231,436,269,311,253,393,380,336,513,671,679,705,605,606
19:00,72,195,139,151,124,146,211,366,211,228,272,328,360,325,448,591,727,715,622,550
20:00,88,204,86,173,115,148,201,220,223,189,280,375,329,306,426,494,470,556,457,539
21:00,86,208,112,143,131,122,196,321,142,216,234,318,222,285,297,357,473,516,413,559
22:00,103,241,134,187,163,146,213,449,160,170,156,231,199,163,243,318,487,537,483,390
23:00,76,221,166,160,164,147,192,453,186,194,249,263,208,171,310,319,401,371,282,434
