Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,11,11,14,16,11,30,33,19,29,9,25,24
01:00,0,0,0,0,0,0,0,0,13,5,5,15,13,14,13,16,6,16,17,18
02:00,0,0,0,0,0,0,0,0,10,3,12,10,4,9,12,5,9,19,9,4
03:00,0,0,0,0,0,0,0,2,8,5,14,2,3,10,2,3,8,8,6,6
04:00,0,0,0,0,0,0,0,4,25,23,13,2,4,2,5,2,1,1,1,2
05:00,0,0,0,0,0,0,0,7,18,33,21,7,8,15,4,2,4,3,5,2
06:00,0,0,0,0,0,0,0,26,37,51,14,3,8,3,4,5,0,2,3,0
07:00,0,0,0,0,0,0,0,8,23,27,24,8,6,7,2,3,3,3,2,4
08:00,0,0,0,1,0,0,1,12,23,44,18,4,4,7,3,3,1,5,3,16
09:00,0,1,0,1,0,2,0,14,35,37,31,7,11,7,8,6,5,4,11,13
10:00,0,0,0,0,1,1,2,15,50,53,38,13,9,11,10,20,17,12,9,14
11:00,0,0,0,1,0,1,0,18,46,50,36,22,14,14,22,22,27,17,19,24
12:00,0,0,0,0,1,1,0,13,21,20,21,31,24,31,28,36,20,19,25,35
13:00,0,0,0,0,0,1,2,2,34,21,23,21,18,31,26,27,23,29,29,31
14:00,0,0,0,0,0,0,0,0,19,23,25,30,26,18,31,26,25,31,22,27
15:00,0,0,0,0,0,3,0,1,20,21,23,15,30,14,28,30,26,16,25,39
16:00,0,0,0,1,0,1,0,10,7,17,18,23,21,27,40,42,24,22,31,32
17:00,0,1,1,0,0,2,1,4,24,15,11,24,39,28,50,52,31,30,15,25
18:00,0,0,0,0,0,0,0,0,15,23,19,39,19,20,36,24,27,32,12,30
19:00,0,2,0,0,0,0,0,3,10,19,21,20,29,31,24,28,27,33,23,31
20:00,0,0,0,0,0,0,0,0,8,9,13,18,39,33,36,29,23,33,19,29
21:00,0,0,0,0,0,0,0,1,11,2,18,28,19,39,35,31,23,20,11,17
22:00,0,0,0,0,0,0,0,3,8,7,12,19,46,27,28,15,17,14,18,12
23:00,0,0,0,0,0,0,0,0,9,3,14,26,40,29,34,23,23,17,22,14
