Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,3,5,6,3,4,3,6,12,44,41,32,22,22,60,38,11,20,10
01:00,0,0,3,11,7,3,17,4,12,11,33,72,28,18,48,35,26,7,21,10
02:00,0,0,8,23,10,7,11,8,11,13,49,40,27,16,12,27,12,12,12,6
03:00,0,0,5,15,8,1,4,14,19,18,20,16,28,6,11,16,12,4,6,4
04:00,0,0,3,11,4,0,1,25,39,22,23,16,14,10,8,10,4,1,5,5
05:00,0,0,2,2,2,1,0,44,58,35,35,13,14,8,8,18,10,0,4,4
06:00,0,0,0,1,0,1,2,37,100,59,53,14,12,18,20,8,3,2,1,2
07:00,0,1,0,1,0,0,3,50,70,44,49,22,20,18,21,14,8,5,1,4
08:00,10,2,4,3,6,3,2,20,42,40,31,31,17,14,19,12,11,3,0,5
09:00,16,16,29,26,30,15,23,43,79,74,46,22,29,23,17,16,17,12,5,10
10:00,30,28,28,36,49,37,34,57,87,67,63,33,38,35,40,47,49,21,17,32
11:00,62,61,67,57,65,34,52,66,105,83,90,73,88,52,81,96,53,36,38,53
12:00,67,66,58,83,74,36,35,47,86,69,108,97,101,54,72,128,105,53,43,41
13:00,31,33,35,54,53,36,47,34,49,58,101,86,92,78,76,129,89,60,55,54
14:00,27,38,46,54,58,42,53,25,40,56,100,66,67,36,69,101,70,48,32,60
15:00,37,51,49,79,84,61,68,42,34,27,86,75,72,55,74,80,87,38,44,55
16:00,41,42,95,98,104,86,86,50,32,55,81,80,67,73,73,95,65,48,43,56
17:00,49,60,86,111,78,69,74,42,30,52,77,69,80,88,83,125,61,60,35,68
18:00,61,59,73,81,80,58,40,35,40,59,83,94,66,63,81,106,81,31,27,54
19:00,38,47,36,63,62,58,52,21,31,41,74,63,62,35,55,94,67,30,36,51
20:00,22,20,33,49,55,57,64,27,23,22,52,45,53,42,56,74,60,26,19,30
21:00,9,23,25,31,49,61,59,19,21,10,38,55,47,44,38,88,57,20,22,23
22:00,3,18,18,16,19,17,36,15,10,11,50,59,33,45,36,64,51,13,14,21
23:00,1,13,6,3,12,1,7,10,10,15,42,42,55,34,38,64,48,10,13,17
