Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,10,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0
04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
06:00,0,0,0,2,3,0,2,0,1,0,1,0,0,0,0,0,6,0,0,1
07:00,0,0,0,1,10,4,10,6,3,13,14,2,1,0,0,1,18,4,7,9
08:00,0,0,0,3,15,12,44,10,14,41,45,14,49,41,6,14,28,80,89,117
09:00,0,0,0,0,17,15,31,19,10,55,44,12,115,138,91,105,96,150,194,153
10:00,0,0,0,1,16,19,23,20,14,34,52,9,148,139,134,153,144,179,226,158
11:00,0,0,0,2,16,13,43,17,21,29,42,23,144,142,188,146,179,187,251,174
12:00,0,0,0,2,20,21,34,23,11,33,59,30,128,108,69,102,66,83,120,91
13:00,0,0,0,10,16,16,31,17,12,52,76,22,100,86,66,77,151,110,227,139
14:00,0,0,0,1,13,20,33,18,16,51,55,35,98,77,111,133,150,168,204,183
15:00,0,0,0,3,7,14,23,19,10,30,38,16,125,100,124,146,126,127,216,135
16:00,0,0,0,1,2,5,1,8,7,21,15,2,120,94,112,111,89,106,150,121
17:00,0,0,0,0,0,1,4,1,0,6,4,0,79,78,69,52,56,76,81,64
18:00,0,0,0,0,0,3,0,0,0,0,0,0,62,64,35,28,42,39,32,25
19:00,0,0,0,0,0,0,0,0,0,0,0,0,35,25,10,10,26,13,19,49
20:00,0,0,0,0,0,0,0,0,0,0,0,0,19,6,3,11,29,25,33,58
21:00,0,0,0,0,0,0,0,0,0,0,0,0,13,2,2,8,17,27,35,39
22:00,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,8,8,8,28,17
23:00,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,3,7,1,5,3
