Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,5,8,31,20,15,26,43,26,50,36,33,19,19,22,42,69,40,63,54,40
01:00,30,28,56,22,26,30,42,25,40,14,16,9,11,21,34,51,36,28,53,24
02:00,37,38,60,37,34,59,37,27,25,28,21,16,21,15,17,32,19,26,31,6
03:00,43,50,66,30,28,55,36,19,19,26,20,22,11,16,15,13,13,7,20,9
04:00,33,65,44,38,47,56,14,29,27,19,32,15,12,15,9,8,10,7,14,4
05:00,43,42,46,22,31,46,15,33,28,29,29,31,15,12,9,6,14,8,9,10
06:00,44,32,69,26,36,46,15,30,36,23,5,14,8,7,16,9,17,10,19,1
07:00,44,34,78,20,25,44,27,22,39,12,12,11,5,9,14,11,10,2,11,13
08:00,43,61,91,38,30,57,45,31,47,21,9,11,7,11,9,11,14,7,14,21
09:00,32,51,90,50,46,64,66,46,47,22,23,17,7,12,22,18,22,12,27,28
10:00,20,54,62,81,45,70,73,66,59,21,15,20,19,19,30,31,28,26,24,22
11:00,31,50,97,65,52,84,89,68,90,29,22,32,30,46,40,54,48,26,58,44
12:00,32,58,103,88,71,67,117,86,64,29,27,36,51,99,47,68,55,29,66,58
13:00,53,68,147,87,71,102,102,96,90,37,54,69,48,66,64,82,65,29,58,37
14:00,37,44,148,97,77,121,103,96,77,33,46,45,45,81,70,62,41,38,52,35
15:00,12,28,92,119,57,113,90,70,71,33,28,68,43,60,49,68,56,51,38,33
16:00,1,7,61,54,20,69,96,55,63,36,26,40,25,65,56,80,39,33,55,49
17:00,0,16,64,43,21,70,95,69,42,36,29,47,36,50,60,69,57,25,58,41
18:00,0,11,48,20,16,35,89,54,46,29,32,26,50,62,69,69,56,23,39,47
19:00,0,14,57,17,16,48,76,46,46,28,21,39,36,52,45,55,40,30,36,35
20:00,0,17,64,42,29,64,106,97,75,34,27,27,34,47,46,63,57,36,46,40
21:00,0,20,70,51,31,98,125,102,112,40,33,25,43,39,33,47,70,32,29,35
22:00,2,16,72,43,40,88,120,89,95,34,44,32,29,49,34,58,51,33,18,40
23:00,1,29,52,29,22,43,84,38,66,54,38,34,29,35,43,54,39,41,44,44
