Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,214,151,126,112,105,123,193,165,205,329,292,381,389,371,364,271,374,231,185,158
01:00,181,128,103,91,75,100,149,102,161,230,284,331,368,303,273,238,266,180,122,154
02:00,154,99,65,91,69,81,89,104,162,159,230,242,289,268,275,263,248,110,110,70
03:00,195,128,69,87,72,93,99,89,138,183,210,255,262,307,239,292,189,100,53,46
04:00,196,116,82,85,65,69,94,84,163,175,192,231,251,340,273,202,171,107,44,49
05:00,194,153,82,116,78,80,103,101,178,174,235,272,185,307,209,147,137,93,38,42
06:00,180,152,113,101,110,137,135,100,216,165,221,247,251,287,182,152,152,103,57,46
07:00,173,169,129,119,105,149,153,158,223,232,267,264,222,267,152,151,164,126,100,124
08:00,166,164,118,104,103,153,178,268,250,235,273,258,253,271,162,169,193,294,211,207
09:00,165,127,124,98,143,215,243,223,252,281,299,375,240,302,229,231,284,504,495,379
10:00,157,194,147,108,123,246,269,218,279,283,290,350,305,284,248,298,328,648,776,451
11:00,193,220,188,116,162,241,284,260,267,236,308,362,411,287,275,228,341,634,626,544
12:00,222,237,161,143,157,245,253,265,258,240,290,408,328,315,268,204,318,560,615,429
13:00,214,238,187,165,165,261,236,360,284,298,316,343,380,357,379,340,390,601,610,415
14:00,172,297,210,177,188,348,334,380,302,334,433,469,435,404,470,372,501,638,763,427
15:00,244,314,223,153,206,357,391,340,311,382,412,550,516,484,620,529,527,707,665,422
16:00,296,245,222,195,214,315,372,310,335,364,521,573,574,564,612,541,592,666,680,417
17:00,249,294,229,181,207,319,441,277,334,397,467,590,670,584,671,590,604,601,564,360
18:00,306,323,267,189,245,348,387,292,366,461,502,640,664,645,707,684,656,454,368,384
19:00,363,293,267,191,261,361,442,297,351,474,518,631,589,670,637,616,606,392,377,241
20:00,381,270,260,176,263,433,433,362,431,527,551,678,603,683,625,637,560,488,425,261
21:00,307,252,269,202,243,393,429,362,377,470,530,670,592,657,659,567,683,453,318,279
22:00,347,264,240,201,182,308,370,278,352,464,465,593,494,479,481,439,568,461,319,199
23:00,300,166,175,131,153,203,238,235,238,372,331,468,480,383,430,364,382,320,274,211
