Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,34,25,49,57,60,80,42,166,52,112,85,130,178,168,72,79,47,15,5,21
01:00,33,34,51,61,71,98,39,186,74,127,75,114,138,153,68,81,62,6,2,15
02:00,31,31,52,46,51,89,30,175,46,112,74,96,106,157,84,31,33,12,5,15
03:00,39,36,35,58,63,77,14,94,46,72,62,89,92,127,55,22,19,7,6,8
04:00,35,27,56,36,37,61,13,34,29,42,46,56,79,128,74,9,11,10,5,8
05:00,12,30,37,8,16,26,5,15,13,36,23,41,60,64,29,11,4,7,10,10
06:00,9,28,24,1,5,19,5,14,11,27,9,30,38,59,27,22,15,14,9,6
07:00,9,21,34,3,11,22,11,15,10,13,7,15,24,38,17,46,33,36,18,12
08:00,9,27,12,1,14,20,8,22,15,8,14,18,21,35,21,67,57,63,24,19
09:00,6,6,12,0,9,6,1,14,18,2,22,23,23,27,25,104,87,64,54,20
10:00,358,307,8,0,206,69,2,5,3,1,22,18,12,20,12,107,86,73,45,44
11:00,0,10,13,0,4,7,2,17,5,11,5,18,30,24,18,86,98,80,49,62
12:00,1,12,8,12,7,14,2,35,8,6,10,28,29,33,20,129,107,82,56,74
13:00,0,11,16,9,9,186,332,107,20,22,20,42,55,47,21,99,104,74,52,73
14:00,0,9,5,21,11,29,7,65,25,56,19,32,61,27,31,112,102,101,62,76
15:00,3,12,17,25,15,43,14,51,21,75,32,50,58,57,34,110,106,110,73,88
16:00,14,8,25,41,24,64,13,73,31,93,27,48,47,53,25,129,120,123,53,75
17:00,38,17,19,72,46,57,27,96,39,100,57,60,75,79,35,112,142,82,52,57
18:00,43,12,24,51,52,52,24,94,44,132,54,65,78,100,52,85,122,53,40,50
19:00,38,24,23,67,67,87,22,119,40,123,59,103,135,170,77,75,113,37,32,65
20:00,43,21,34,48,64,66,49,157,58,106,94,109,150,111,64,79,83,23,19,47
21:00,36,17,34,53,51,59,43,144,47,119,80,91,131,115,48,88,79,38,39,34
22:00,38,29,33,58,55,83,36,128,65,110,87,118,127,134,53,83,56,28,31,43
23:00,32,27,37,69,48,97,42,136,62,114,98,114,157,177,97,74,49,19,11,20
