Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,115,107,33,17,20,55,138,94,173,78,107,73,126,83,158,93,87,51,64,75
01:00,90,60,21,14,10,35,49,80,102,59,80,52,88,92,146,66,48,29,43,68
02:00,43,28,12,6,4,16,57,40,63,31,52,26,46,66,135,40,37,24,16,49
03:00,26,11,6,6,7,16,11,17,31,14,31,17,24,49,107,40,13,6,7,31
04:00,3,8,3,5,4,10,7,5,15,6,3,2,17,45,72,36,5,2,6,20
05:00,3,4,9,4,8,20,2,7,6,3,3,0,6,23,51,12,4,0,2,10
06:00,4,4,29,31,47,8,6,15,5,2,1,8,9,28,19,14,5,8,2,23
07:00,14,11,57,73,69,10,29,25,10,5,2,5,12,18,40,28,6,10,9,28
08:00,35,26,97,77,94,24,44,62,19,15,17,19,16,43,42,34,11,11,12,26
09:00,68,44,101,111,104,59,52,60,32,26,33,19,22,38,85,53,8,16,9,33
10:00,109,84,115,123,112,84,78,88,37,34,31,27,35,42,86,80,43,19,29,43
11:00,160,86,114,95,114,95,77,69,52,49,23,33,35,65,108,85,59,36,34,44
12:00,196,92,114,75,121,107,103,62,65,33,35,51,69,86,193,195,86,62,45,80
13:00,180,81,92,124,113,96,109,76,49,31,43,44,69,83,145,139,69,67,55,94
14:00,199,80,111,130,119,99,108,97,74,52,35,37,58,93,166,151,59,45,77,102
15:00,204,84,90,111,115,98,118,92,92,54,73,43,80,97,156,161,81,51,86,128
16:00,160,115,75,127,115,72,101,88,87,72,56,39,77,122,145,180,87,78,93,135
17:00,123,106,92,90,110,102,114,109,76,65,48,57,101,98,146,133,93,75,95,101
18:00,144,87,61,89,92,96,120,154,85,60,60,52,123,117,141,133,108,80,74,108
19:00,118,93,72,115,139,156,167,174,127,75,73,63,111,100,132,141,69,75,58,94
20:00,111,114,85,91,153,149,155,149,149,63,102,73,123,118,118,112,74,49,51,81
21:00,119,127,93,71,111,155,179,163,155,72,97,85,146,99,106,109,90,57,86,89
22:00,178,108,68,57,74,163,193,138,145,138,110,74,158,135,110,94,90,68,89,110
23:00,161,148,43,39,66,97,165,145,141,104,132,105,97,112,113,124,69,48,71,107
