Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,19,3,6,4,5,34,99,133,51,60,14,15,9,19,35,19,26,15,51,45
01:00,14,1,7,9,9,16,62,71,30,29,19,13,7,11,20,7,10,10,44,16
02:00,16,7,5,11,2,7,52,15,27,6,9,12,4,5,11,3,7,9,31,12
03:00,25,17,10,23,17,13,22,11,3,5,4,5,3,5,16,4,2,2,14,13
04:00,19,23,14,11,11,2,5,4,7,6,3,1,2,5,21,1,1,5,34,4
05:00,14,14,15,15,8,4,6,1,4,5,3,1,3,4,28,5,6,3,12,6
06:00,13,12,5,5,6,4,10,8,19,3,4,9,7,2,7,7,2,4,7,4
07:00,1,3,3,5,5,4,18,42,30,10,9,14,12,11,14,8,8,4,19,14
08:00,0,1,4,4,17,10,44,54,46,28,37,28,23,25,23,36,33,21,23,51
09:00,2,3,1,9,32,32,74,91,72,68,45,38,22,35,94,81,47,37,74,53
10:00,2,0,2,15,26,50,129,137,118,69,68,58,52,80,133,161,82,104,103,99
11:00,1,0,1,16,35,62,140,149,135,105,50,86,45,88,169,179,158,133,156,122
12:00,1,2,6,8,22,58,140,118,95,100,72,50,55,72,163,175,120,116,219,131
13:00,12,17,10,18,29,57,148,142,114,129,47,58,36,67,170,144,123,143,188,121
14:00,20,16,12,16,35,45,137,143,138,105,60,55,42,59,134,126,110,114,190,182
15:00,18,25,13,9,25,71,178,153,143,107,70,60,46,63,143,111,98,89,187,134
16:00,10,15,13,24,36,39,185,161,163,84,48,58,39,57,111,132,88,92,148,131
17:00,14,18,4,16,9,28,150,132,94,87,60,46,52,43,120,102,68,62,147,96
18:00,20,26,13,14,15,36,120,125,65,80,54,31,35,22,62,78,86,49,174,55
19:00,15,26,13,11,25,39,127,120,92,38,47,35,24,35,49,73,80,36,92,45
20:00,20,15,14,5,18,40,128,85,63,82,38,26,24,23,52,44,53,35,67,47
21:00,16,10,7,6,17,39,107,122,63,59,45,20,18,30,62,25,62,31,74,60
22:00,15,3,9,6,16,38,133,119,60,60,38,26,26,31,53,28,47,30,41,48
23:00,10,2,9,4,14,48,116,176,72,75,31,34,21,16,44,29,49,25,70,66
