Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,3,4,3,4,9,25,21,62,43,50,13,11,8,2,16,7,5,11,18,38
01:00,4,4,3,3,3,12,16,50,33,22,9,9,7,9,6,4,7,2,11,28
02:00,1,1,0,0,2,8,2,38,13,20,3,2,9,2,6,3,0,2,9,14
03:00,0,2,0,4,1,2,5,24,4,5,6,0,4,6,2,0,7,1,2,8
04:00,0,1,1,3,0,0,6,9,6,7,1,1,5,4,3,0,2,3,2,14
05:00,0,3,5,0,1,4,1,7,7,6,7,2,0,4,2,2,2,7,5,3
06:00,1,2,2,0,1,6,1,11,9,6,8,4,5,8,0,4,9,7,13,6
07:00,2,6,9,6,0,6,10,20,23,9,8,7,15,13,2,9,5,9,14,10
08:00,3,5,7,7,14,10,17,23,22,24,14,12,9,25,11,19,20,10,20,11
09:00,10,8,6,24,11,6,15,42,65,39,25,22,14,19,62,46,45,17,28,9
10:00,5,6,9,40,19,16,39,89,93,72,27,34,29,27,78,55,46,24,59,73
11:00,4,3,9,32,15,31,73,83,103,119,60,41,52,34,88,89,58,34,78,83
12:00,2,4,6,34,21,35,59,116,92,108,52,36,36,37,66,63,43,27,89,83
13:00,9,10,9,33,21,34,60,109,100,88,49,43,72,53,53,59,36,33,76,67
14:00,10,5,15,26,12,23,78,141,125,115,63,43,108,51,83,73,43,23,72,64
15:00,4,6,8,52,10,18,77,154,128,137,66,47,44,54,92,85,55,30,69,94
16:00,9,4,16,52,41,24,83,179,147,125,63,61,71,49,81,83,46,35,68,70
17:00,1,5,10,85,37,29,87,183,164,123,60,32,46,52,56,55,29,34,56,56
18:00,6,1,6,61,26,38,78,152,149,100,42,32,33,54,62,49,17,37,59,36
19:00,1,5,10,75,30,31,53,137,109,72,56,24,40,31,25,31,17,25,45,74
20:00,4,4,9,54,26,24,30,98,79,65,22,19,28,40,40,42,15,22,49,51
21:00,3,6,9,40,22,23,40,81,62,70,30,32,22,27,36,38,16,19,28,69
22:00,6,6,5,29,14,26,36,60,59,89,21,22,28,22,36,26,15,23,32,34
23:00,3,3,2,15,13,31,34,76,72,67,21,15,12,18,32,16,7,14,25,51
