Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,54,74,65,51,43,69,191,209,94,75,62,91,111,86,78,87,127,75,38,115
01:00,67,54,50,44,20,54,211,157,88,81,86,63,86,74,72,65,120,76,54,110
02:00,32,32,40,19,9,35,193,159,86,77,121,123,125,63,68,64,68,75,65,96
03:00,13,20,6,4,1,34,199,217,87,62,95,134,104,74,62,63,134,113,62,168
04:00,1,0,2,2,7,46,181,154,119,65,123,91,117,86,60,90,175,140,57,170
05:00,4,0,3,1,0,30,189,150,109,54,182,95,113,86,74,104,221,117,57,167
06:00,2,1,2,4,3,51,146,145,72,75,156,148,153,106,82,108,272,135,90,178
07:00,4,0,3,3,5,54,153,139,72,61,203,130,126,92,74,161,290,180,108,218
08:00,2,10,12,7,7,56,152,138,72,65,154,112,110,88,83,173,363,153,105,180
09:00,33,33,23,25,13,41,164,116,54,71,144,106,136,98,97,193,334,188,106,188
10:00,49,51,34,34,22,78,142,110,76,112,197,148,151,144,86,200,376,148,101,181
11:00,34,47,52,42,40,92,177,145,98,130,221,165,203,150,122,264,471,172,115,172
12:00,43,67,66,28,28,83,236,197,118,170,210,162,187,215,128,215,493,140,113,176
13:00,48,67,60,40,40,83,238,185,163,203,231,225,177,199,128,227,405,180,107,132
14:00,51,63,55,42,62,146,265,243,158,204,289,250,158,225,175,204,365,182,137,155
15:00,64,76,54,37,36,179,269,244,199,173,287,219,205,197,136,225,416,202,144,186
16:00,57,60,42,38,44,160,296,257,165,203,307,243,220,224,150,215,466,241,133,195
17:00,35,33,45,26,36,131,317,285,195,267,328,284,253,271,166,203,512,198,142,206
18:00,20,14,20,24,30,135,400,352,254,219,358,257,282,291,149,265,483,245,130,225
19:00,8,11,25,31,17,173,392,322,267,233,328,286,282,241,180,246,443,251,146,178
20:00,3,9,24,47,38,169,328,272,212,157,293,291,299,189,154,208,387,194,92,141
21:00,12,11,37,33,47,121,241,189,154,127,239,188,210,141,139,148,266,180,74,112
22:00,13,15,26,38,30,113,243,189,110,89,189,137,190,140,140,123,151,106,72,135
23:00,42,68,51,46,42,118,187,155,115,74,83,104,152,141,132,125,142,79,73,118
