Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,5,4,1,3,17,19,16,35,5,7,18,17,17,12,5,12,30,30,43
01:00,1,0,1,1,9,9,17,17,22,10,5,18,12,11,16,1,11,18,13,18
02:00,2,1,1,1,2,10,41,9,18,6,4,8,8,4,6,3,7,6,12,25
03:00,0,2,1,2,1,2,10,1,9,4,3,2,5,8,2,2,2,5,5,13
04:00,0,0,2,1,1,4,1,3,5,1,0,4,3,0,4,0,5,2,6,20
05:00,1,1,2,1,5,2,1,2,4,4,3,3,4,2,6,3,1,6,5,5
06:00,3,2,1,3,3,3,2,3,4,1,7,4,10,4,4,4,2,1,3,5
07:00,12,8,7,6,3,12,7,9,22,5,5,6,9,6,16,3,5,3,25,15
08:00,12,37,7,16,18,22,8,3,27,8,6,15,10,13,11,8,8,7,38,18
09:00,19,39,24,17,38,24,20,30,37,10,5,19,24,10,18,6,16,25,42,27
10:00,18,39,25,22,63,52,31,81,84,33,21,49,58,17,32,10,14,27,62,51
11:00,23,18,13,21,48,45,57,70,81,29,30,64,87,41,47,13,15,19,48,45
12:00,21,19,20,12,49,44,58,84,105,18,21,53,66,22,57,11,26,26,68,44
13:00,20,18,16,13,43,50,104,44,95,32,15,65,61,24,76,23,37,26,57,45
14:00,22,25,17,23,52,61,72,65,75,35,32,59,69,39,68,18,22,21,34,45
15:00,25,22,10,27,52,60,100,72,83,29,34,65,68,25,61,13,23,16,48,46
16:00,14,9,13,8,27,55,90,78,108,33,18,43,72,38,53,15,14,40,50,51
17:00,11,8,9,2,22,29,104,79,80,41,13,65,53,38,68,19,18,29,42,43
18:00,5,11,6,3,36,22,97,66,80,35,21,66,65,33,52,9,8,21,19,35
19:00,1,3,1,5,24,30,117,40,38,40,9,44,49,29,53,13,12,22,44,30
20:00,9,5,2,3,29,38,39,39,60,27,11,39,63,37,53,16,18,33,44,33
21:00,2,0,4,6,32,32,29,36,64,25,18,36,56,31,38,18,13,22,28,43
22:00,3,1,1,3,21,20,30,31,55,27,15,31,57,24,32,14,18,20,26,33
23:00,1,2,1,0,18,15,23,17,43,23,18,38,36,21,25,3,14,18,25,48
