Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,127,100,101,95,112,72,108,83,43,21,55,45,47,60,38,11,0,0,0,0
01:00,106,111,97,113,103,55,82,31,12,10,28,17,25,40,15,8,0,0,0,0
02:00,92,129,98,91,95,68,95,4,11,6,25,7,8,25,7,9,0,0,0,0
03:00,152,137,101,113,64,46,63,3,6,5,14,3,11,12,7,3,0,0,0,0
04:00,121,110,57,78,27,32,41,4,3,1,1,1,6,7,4,2,0,0,0,0
05:00,61,59,25,33,12,18,23,5,1,3,2,2,13,4,4,7,0,0,0,0
06:00,30,16,11,23,9,12,23,13,9,13,2,3,4,9,4,6,0,0,0,0
07:00,13,6,9,19,12,12,26,21,12,13,14,9,10,36,14,15,0,0,0,0
08:00,11,9,13,21,34,31,19,53,40,53,38,28,60,138,118,83,0,0,0,0
09:00,26,13,21,31,37,44,63,90,62,53,83,49,122,276,198,147,0,0,0,0
10:00,17,9,24,41,46,38,54,86,85,79,105,127,232,318,271,260,0,0,0,0
11:00,25,24,34,43,45,36,73,113,94,102,168,139,243,347,267,202,0,0,0,0
12:00,26,28,53,36,65,40,59,157,117,99,168,156,139,297,200,116,0,0,0,0
13:00,58,68,58,65,61,57,69,138,117,92,164,157,161,253,204,110,0,0,0,0
14:00,79,88,68,81,80,57,109,135,127,94,175,154,252,413,283,207,0,0,0,0
15:00,104,137,114,121,123,74,104,151,130,95,190,142,241,376,280,178,0,0,0,0
16:00,137,110,156,114,119,97,138,155,130,110,146,124,216,357,269,185,0,0,0,0
17:00,157,158,134,141,135,94,134,143,124,99,120,110,181,319,215,124,0,0,0,0
18:00,152,144,158,131,138,119,126,140,99,73,127,92,117,130,110,72,0,0,0,0
19:00,168,142,151,131,138,110,126,134,107,75,110,93,61,74,77,21,0,0,0,0
20:00,149,140,128,145,122,145,139,114,112,52,121,76,50,93,68,30,0,0,0,0
21:00,151,166,144,159,120,119,126,124,108,92,131,79,44,92,63,27,0,0,0,0
22:00,172,155,180,139,115,124,125,154,120,97,113,105,74,121,84,32,0,0,0,0
23:00,135,135,112,119,88,65,77,116,94,62,73,62,55,99,60,26,0,0,0,0
