Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,153,175,79,126,214,207,141,131,148,240,151,52,53,19,47,21,0,0,0,0
01:00,159,159,50,79,169,169,96,131,115,175,89,26,24,16,15,13,0,0,0,0
02:00,109,94,39,61,103,117,65,93,59,150,54,21,20,18,11,7,0,0,0,0
03:00,72,73,23,23,81,89,34,103,59,135,20,7,8,7,7,9,0,0,0,0
04:00,49,39,10,17,44,49,47,82,31,79,23,7,6,5,2,15,0,0,0,0
05:00,13,24,9,18,25,41,33,36,20,40,23,68,62,39,5,7,0,0,0,0
06:00,59,52,11,31,31,18,21,31,39,64,52,51,28,33,20,28,0,0,0,0
07:00,77,63,26,41,52,59,59,26,29,29,16,11,19,31,21,7,0,0,0,0
08:00,108,106,78,49,118,156,131,68,54,37,93,41,19,44,30,37,0,0,0,0
09:00,140,125,154,106,135,197,166,73,78,81,129,100,33,33,55,32,0,0,0,0
10:00,114,154,165,108,185,234,206,83,127,70,174,126,47,46,38,38,0,0,0,0
11:00,116,181,165,116,244,266,211,101,137,123,189,139,42,45,51,40,0,0,0,0
12:00,170,225,203,167,316,261,253,107,121,132,128,95,43,42,60,48,0,0,0,0
13:00,167,338,218,169,284,278,254,147,143,160,137,117,77,63,70,73,0,0,0,0
14:00,172,292,196,188,299,342,226,149,154,162,175,122,61,68,78,87,0,0,0,0
15:00,284,316,199,156,310,315,308,179,199,197,200,126,93,87,86,80,0,0,0,0
16:00,165,268,230,167,270,328,267,205,179,182,218,151,89,78,104,91,0,0,0,0
17:00,167,266,192,158,207,275,304,244,161,247,265,193,107,98,95,120,0,0,0,0
18:00,131,215,154,168,254,247,291,265,161,278,202,214,116,97,101,83,0,0,0,0
19:00,130,175,187,158,235,235,244,249,194,281,234,153,100,100,120,111,0,0,0,0
20:00,142,182,203,141,254,258,295,238,232,275,163,169,85,92,124,150,0,0,0,0
21:00,170,189,187,180,322,339,285,229,215,286,226,179,104,106,102,112,0,0,0,0
22:00,175,221,152,169,303,269,203,281,214,269,274,174,90,96,87,90,0,0,0,0
23:00,194,243,124,161,286,252,178,175,214,295,242,123,59,47,96,64,0,0,0,0
