Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,74,83,72,44,50,41,43,58,24,6,28,15,17,18,57,43,45,23,28,28
01:00,58,75,54,59,45,63,41,46,8,3,7,0,4,8,25,28,21,19,14,18
02:00,72,63,57,55,55,67,29,29,4,0,4,1,1,3,31,27,22,18,8,12
03:00,48,56,48,26,53,54,35,35,7,0,2,1,3,2,34,26,12,13,10,10
04:00,80,60,38,46,50,56,35,50,5,0,1,1,2,1,36,35,11,10,6,8
05:00,63,42,37,30,49,45,25,41,6,0,1,5,1,1,21,35,27,18,6,14
06:00,35,39,24,31,21,37,26,39,8,5,6,6,1,11,37,27,32,21,15,27
07:00,33,21,11,15,10,32,24,37,20,23,32,20,17,18,55,41,63,48,35,41
08:00,13,4,2,1,12,12,8,14,29,11,48,41,24,19,75,82,132,99,72,88
09:00,6,2,5,2,3,14,8,11,34,41,65,49,54,67,180,100,185,159,131,123
10:00,7,2,3,4,7,9,6,4,56,61,89,51,53,69,171,170,198,168,207,176
11:00,5,0,5,0,2,15,4,16,41,55,95,53,74,61,157,202,220,207,244,195
12:00,13,3,1,1,8,13,8,16,49,52,76,68,66,73,180,151,205,193,231,184
13:00,5,7,2,5,8,16,7,23,34,47,62,59,46,78,216,146,224,168,272,209
14:00,6,2,0,3,12,13,6,17,46,62,60,69,64,69,200,189,229,196,234,214
15:00,2,2,1,1,2,17,4,11,39,54,71,65,63,63,153,195,210,176,212,217
16:00,1,0,0,0,3,12,4,17,45,38,57,41,29,57,140,161,156,166,207,193
17:00,0,0,1,2,8,23,4,12,25,36,41,39,41,49,93,108,119,128,178,160
18:00,1,0,2,1,5,27,3,20,21,29,31,27,30,33,103,88,64,72,111,94
19:00,1,3,0,3,14,16,7,16,10,27,30,19,25,35,85,57,53,48,72,47
20:00,5,1,2,5,7,21,3,15,5,14,38,15,13,14,80,52,44,41,51,40
21:00,16,7,6,6,30,39,10,35,12,17,31,20,19,21,69,79,61,37,67,50
22:00,32,26,24,6,27,55,25,41,24,19,38,27,14,17,87,61,46,50,61,45
23:00,60,189,210,80,48,58,37,51,24,14,35,23,10,28,53,48,39,32,49,44
