Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,49,19,16,13,4,9,21,1,0,3,0,2,15,16,5,9,7,9,2,10
01:00,23,7,24,1,4,1,16,0,1,1,0,0,1,7,0,3,2,0,0,0
02:00,6,3,16,0,0,0,17,0,0,0,0,0,0,2,0,0,0,0,0,0
03:00,0,3,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,2,0,0
04:00,0,2,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0
05:00,0,0,11,3,0,0,12,6,2,6,0,2,0,0,0,0,0,3,1,0
06:00,1,3,5,2,4,7,63,25,4,16,3,12,2,3,2,4,2,8,1,2
07:00,8,8,17,9,11,9,80,31,13,41,34,52,11,21,10,19,19,27,20,17
08:00,8,21,35,12,12,27,114,80,48,173,128,143,45,47,37,44,48,88,100,59
09:00,9,11,56,14,12,30,184,159,99,322,187,205,200,225,131,117,113,182,234,117
10:00,18,37,69,18,42,39,173,104,80,270,150,197,322,369,258,170,162,252,206,133
11:00,14,47,70,32,35,84,145,91,50,202,145,182,410,425,240,232,142,258,244,158
12:00,23,54,49,51,39,75,180,64,109,324,169,284,235,301,119,128,95,174,139,117
13:00,34,56,93,39,72,57,272,115,129,343,264,340,255,287,120,182,112,149,147,99
14:00,29,50,43,41,62,51,229,73,133,273,217,280,381,400,185,218,116,199,203,166
15:00,28,74,66,30,90,119,257,115,100,304,167,206,420,433,169,175,114,217,156,167
16:00,26,60,50,52,80,96,249,75,131,265,98,160,408,373,161,158,110,140,130,137
17:00,33,47,38,41,41,52,130,66,124,125,50,62,273,253,133,121,72,120,113,96
18:00,34,36,33,34,61,64,59,30,115,106,37,52,70,99,59,45,26,59,43,58
19:00,25,47,42,33,93,106,66,35,69,128,108,73,65,77,23,40,33,54,30,17
20:00,36,57,37,89,110,111,62,29,67,177,133,106,174,183,58,85,58,64,60,46
21:00,41,62,48,77,116,113,77,43,62,164,106,77,185,243,135,103,61,99,57,75
22:00,58,57,32,42,97,87,60,21,32,137,61,85,221,279,146,111,52,83,55,68
23:00,45,56,37,22,50,15,23,5,6,33,5,33,126,129,45,41,25,36,14,25
