Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,39,20,27,6,9,13,2,0,2,1,3,1,1,20,18,14,3,2,9,2
01:00,40,22,46,3,9,1,2,0,4,0,2,2,0,8,9,9,2,0,1,0
02:00,31,26,37,2,3,0,0,0,1,2,0,1,0,2,3,10,2,1,1,0
03:00,43,15,40,2,6,0,0,0,0,8,1,2,0,0,0,6,1,0,3,0
04:00,38,20,29,6,0,3,0,0,3,10,1,4,2,0,0,0,0,0,1,0
05:00,38,24,22,7,7,9,3,10,19,40,22,9,10,10,0,0,0,0,4,1
06:00,49,12,7,14,12,37,20,37,46,30,28,22,37,17,10,8,2,3,2,4
07:00,29,17,15,13,33,47,43,28,44,47,46,34,37,32,37,30,24,8,7,4
08:00,14,14,8,47,45,61,31,39,66,43,46,27,51,71,106,78,98,72,25,25
09:00,9,12,5,26,52,53,72,36,59,41,33,26,45,108,125,120,110,73,39,30
10:00,8,5,7,20,48,81,74,50,63,44,35,36,27,84,148,107,78,70,40,40
11:00,2,2,3,18,55,49,65,40,54,47,39,30,39,83,120,97,94,72,33,22
12:00,2,5,20,20,42,60,53,50,55,40,28,34,31,69,106,92,70,58,20,19
13:00,2,6,27,31,39,47,52,30,46,50,42,48,41,96,112,94,92,68,22,21
14:00,14,16,38,40,47,40,52,32,47,57,58,47,26,118,119,103,116,62,25,19
15:00,29,33,55,33,47,55,41,44,33,44,41,31,22,92,161,93,110,60,16,19
16:00,42,37,40,35,58,38,50,29,46,44,35,25,45,83,149,106,133,65,29,19
17:00,66,42,44,22,61,36,30,17,26,46,47,21,26,104,126,107,112,64,34,14
18:00,82,35,47,9,57,55,14,22,39,50,29,36,28,77,100,70,77,41,15,12
19:00,41,38,33,27,64,49,17,13,28,33,26,40,33,80,75,61,63,56,22,12
20:00,49,40,46,18,70,53,12,19,29,46,33,25,22,68,72,70,55,59,26,14
21:00,46,18,44,19,61,40,12,8,29,18,26,16,35,74,79,54,47,29,38,13
22:00,69,34,35,27,52,32,24,2,12,11,15,4,9,79,69,76,49,29,22,12
23:00,54,27,19,16,30,13,2,0,5,5,11,2,1,44,56,40,26,18,7,11
