Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,6,0,7,5,9,5,1,2,5,17,2,2,10,3,32,13,0,0,0,0
01:00,5,1,12,12,23,10,0,7,5,6,0,3,7,0,15,3,0,0,0,0
02:00,11,3,8,22,9,7,6,7,5,4,2,2,1,1,6,5,0,0,0,0
03:00,21,9,21,25,32,37,7,8,5,6,0,0,0,0,1,0,0,0,0,0
04:00,34,25,19,28,12,23,12,18,3,0,1,0,0,0,0,0,0,0,0,0
05:00,29,30,23,19,15,9,2,19,7,4,0,0,0,0,0,0,0,0,0,0
06:00,23,11,14,23,10,6,4,4,22,10,0,0,0,0,2,1,0,0,0,0
07:00,4,4,7,14,8,6,0,6,9,3,0,1,3,3,2,5,0,0,0,0
08:00,0,0,6,12,4,5,6,9,11,9,4,5,1,2,6,6,0,0,0,0
09:00,0,0,5,26,4,5,5,16,30,29,16,12,6,12,29,12,0,0,0,0
10:00,0,0,5,17,4,7,3,49,34,40,5,21,12,14,26,11,0,0,0,0
11:00,0,0,1,17,4,12,9,395,83,52,18,22,23,12,26,9,0,0,0,0
12:00,2,1,7,27,15,18,7,46,73,61,21,5,14,12,29,16,0,0,0,0
13:00,6,9,13,47,34,40,18,51,115,55,15,20,16,23,27,18,0,0,0,0
14:00,19,11,17,44,40,38,20,66,70,63,17,27,13,20,35,15,0,0,0,0
15:00,12,8,17,53,40,24,32,68,91,41,17,29,20,19,25,32,0,0,0,0
16:00,14,8,13,33,21,35,40,53,75,38,23,44,22,11,11,28,0,0,0,0
17:00,15,15,16,49,39,27,31,45,82,30,14,17,25,16,15,11,0,0,0,0
18:00,18,20,20,47,34,32,29,43,71,34,9,7,13,15,8,14,0,0,0,0
19:00,16,9,19,50,33,38,23,52,56,29,8,9,12,4,18,7,0,0,0,0
20:00,26,13,41,45,34,36,35,31,27,27,10,14,13,10,9,5,0,0,0,0
21:00,24,13,20,27,26,24,31,22,18,28,11,2,7,8,9,23,0,0,0,0
22:00,13,5,13,37,17,19,15,19,20,32,7,4,13,19,13,17,0,0,0,0
23:00,6,7,10,8,13,8,8,9,11,30,7,6,15,14,25,16,0,0,0,0
