Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0:00,469,578,710,527,199,205,259,160,116,118,91,77,84,107,93,89,70,60,54,23
1:00,330,476,447,402,149,151,153,136,111,88,42,42,64,67,67,62,52,43,24,15
2:00,270,342,326,210,138,112,93,96,83,34,22,26,36,51,30,19,31,20,9,13
3:00,128,258,212,194,94,76,54,46,67,36,18,19,27,24,19,21,11,21,4,4
4:00,90,160,186,86,56,54,36,32,52,26,32,17,10,10,10,13,6,22,9,5
5:00,38,114,166,110,56,78,27,22,18,28,29,19,13,10,10,18,6,9,9,8
6:00,82,184,196,198,137,119,54,14,27,52,37,18,23,22,31,33,27,14,16,17
7:00,155,330,340,349,133,143,90,31,23,56,53,45,33,56,29,56,51,43,32,25
8:00,324,530,673,662,253,249,205,90,65,142,139,84,76,132,105,101,111,122,147,101
9:00,508,886,1285,1152,353,483,413,244,167,231,237,118,126,157,202,167,167,191,174,132
10:00,788,1222,1738,1495,598,674,715,435,188,305,274,163,157,267,238,203,228,177,213,177
11:00,928,1466,2015,1854,674,787,826,444,285,379,302,187,194,296,238,224,245,223,232,188
12:00,1017,1622,1894,1829,843,888,1019,611,303,331,297,192,238,348,273,282,255,253,204,185
13:00,1034,1516,2028,1794,814,919,1000,492,342,410,282,190,230,319,297,257,274,223,236,204
14:00,1163,1636,1970,2026,980,954,1006,599,418,479,376,205,253,322,310,283,289,248,242,217
15:00,1158,1636,2056,1913,940,903,1009,644,484,484,360,209,218,364,324,314,261,212,207,214
16:00,1059,1606,2160,1726,890,963,1002,512,448,417,298,183,223,362,307,231,266,242,237,196
17:00,971,1504,1862,1605,771,886,772,399,386,333,204,180,196,296,251,245,218,202,208,158
18:00,806,1372,1533,1434,737,731,751,316,369,256,189,159,177,242,225,193,226,217,138,136
19:00,740,1188,1284,1293,741,548,587,298,367,244,183,134,117,242,213,164,178,149,138,92
20:00,618,970,1088,1083,593,435,469,223,292,252,196,113,143,166,157,142,153,101,78,79
21:00,629,960,973,1004,633,426,440,278,262,184,151,105,124,136,129,118,136,79,88,63
22:00,681,837,913,898,457,386,331,198,252,204,129,90,148,174,184,137,138,91,73,53
23:00,555,640,822,730,279,324,329,198,173,179,93,101,106,182,146,128,91,90,60,36
