Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,106,175,100,63,67,101,120,105,85,111,125,134,85,66,21,80,82,29,8,28
01:00,28,70,27,23,27,35,93,85,85,115,80,91,73,46,8,36,21,15,3,13
02:00,6,21,8,5,11,10,53,86,39,49,35,30,24,3,4,11,8,0,0,2
03:00,0,15,7,3,2,2,16,22,21,20,8,5,2,2,0,8,0,1,0,0
04:00,0,3,1,3,2,1,3,8,10,19,7,6,5,3,3,22,0,0,2,0
05:00,0,5,0,0,2,0,1,0,5,7,5,1,1,1,8,5,0,0,1,0
06:00,0,6,0,5,0,2,0,0,4,0,3,5,7,4,2,7,0,3,0,0
07:00,5,29,23,27,32,31,4,0,5,2,0,2,5,1,0,9,0,0,1,1
08:00,17,78,114,56,112,72,20,0,1,6,3,1,8,8,1,7,1,0,1,7
09:00,71,163,193,96,147,173,65,10,19,28,37,32,17,9,6,9,16,8,4,4
10:00,141,177,185,175,233,278,177,94,68,66,94,103,72,40,22,60,139,57,31,22
11:00,156,170,198,166,220,349,306,203,220,187,247,221,191,134,125,243,634,371,244,137
12:00,134,189,150,130,149,195,373,284,315,169,324,251,255,253,230,278,619,397,309,232
13:00,113,142,157,168,136,242,274,271,322,223,310,270,279,224,216,277,708,450,313,230
14:00,184,202,197,208,151,324,295,189,244,146,227,219,267,180,158,226,467,334,218,195
15:00,200,177,228,175,168,320,335,233,269,121,219,298,278,227,233,252,610,442,400,285
16:00,160,205,226,181,180,276,346,319,328,202,305,363,293,283,232,314,731,481,375,240
17:00,168,191,191,139,172,251,382,337,301,186,330,325,353,231,226,301,723,426,295,213
18:00,76,151,139,100,142,163,276,277,268,192,353,294,306,246,266,340,678,436,302,220
19:00,84,107,105,84,73,107,251,256,167,175,260,229,188,163,241,278,605,452,295,252
20:00,83,126,174,93,84,124,101,121,136,76,138,119,106,65,70,100,359,272,161,130
21:00,162,205,181,110,94,174,116,153,116,89,88,70,110,40,32,97,169,158,73,92
22:00,177,309,249,112,112,217,146,107,131,80,81,84,75,68,19,60,147,81,40,33
23:00,227,269,227,121,108,141,134,168,140,87,107,132,81,68,17,90,111,43,22,26
