Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,91,66,39,51,42,33,26,36,55,52,55,19,17,13,8,10,9,6,0,0
01:00,53,40,14,29,37,53,36,21,44,40,51,12,11,11,7,5,12,2,0,0
02:00,68,41,39,26,37,50,32,15,42,20,42,13,8,13,8,0,4,1,0,0
03:00,69,46,56,25,34,39,24,18,24,36,64,30,12,6,9,1,3,2,0,0
04:00,59,41,57,33,16,19,30,11,23,28,50,19,10,18,7,9,7,0,0,0
05:00,33,48,68,29,14,10,12,4,7,9,71,42,11,26,18,5,4,3,0,0
06:00,55,47,43,18,9,4,11,13,4,23,32,59,32,47,30,13,22,2,0,0
07:00,51,14,34,9,3,6,7,6,7,9,66,115,73,61,42,19,36,10,0,0
08:00,63,24,9,7,11,5,6,4,4,7,83,151,119,76,69,18,42,24,0,0
09:00,25,18,1,11,8,4,12,3,11,18,42,230,206,139,118,62,73,23,0,0
10:00,40,55,12,6,11,9,9,11,12,15,63,225,182,167,133,48,67,33,0,0
11:00,45,48,28,22,36,20,20,17,26,31,79,199,161,181,129,80,87,21,0,0
12:00,45,70,32,30,66,39,29,17,29,43,84,206,114,96,114,64,77,20,0,0
13:00,59,83,55,59,104,63,53,44,65,42,135,238,180,118,126,67,67,28,0,0
14:00,92,99,68,71,117,82,68,71,80,92,181,225,159,124,117,59,71,31,0,0
15:00,84,99,70,57,86,106,72,53,96,114,197,199,162,133,127,65,68,20,0,0
16:00,80,102,59,65,56,71,47,47,93,108,196,167,156,130,101,43,56,21,0,0
17:00,100,89,77,60,79,77,43,43,77,103,179,165,120,100,70,41,45,26,0,0
18:00,94,117,64,77,85,80,64,42,61,58,128,90,78,69,50,42,33,8,0,0
19:00,144,127,98,67,94,74,75,58,71,86,139,93,50,48,54,27,25,6,0,0
20:00,102,135,89,69,98,86,63,72,99,91,133,69,78,57,38,17,22,13,0,0
21:00,137,138,99,55,91,82,53,58,112,111,193,59,41,61,37,18,32,12,0,0
22:00,121,117,82,75,66,56,60,51,68,105,134,23,33,28,23,15,26,14,0,0
23:00,92,86,67,28,55,51,40,42,56,66,77,22,21,12,10,5,10,5,0,0
