Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,15,40,23,13,16,12,30,23,12,15,54,84,174,67,32,37,0,0,0,0
01:00,15,6,12,5,8,3,8,22,5,9,32,32,68,43,26,17,0,0,0,0
02:00,8,5,6,1,1,0,2,2,7,4,11,39,45,31,14,6,0,0,0,0
03:00,8,10,4,0,1,0,1,0,5,3,8,17,28,21,2,6,0,0,0,0
04:00,5,26,2,0,1,0,0,0,0,9,3,8,14,4,2,5,0,0,0,0
05:00,3,9,3,0,1,3,2,0,0,7,1,4,14,3,4,7,0,0,0,0
06:00,2,13,13,6,2,1,1,5,2,6,1,6,10,12,9,10,0,0,0,0
07:00,3,13,12,14,7,6,3,3,8,3,3,11,26,33,38,23,0,0,0,0
08:00,8,20,13,10,18,3,9,17,11,1,16,26,65,69,46,54,0,0,0,0
09:00,17,19,17,16,4,8,6,30,13,7,10,65,128,129,90,90,0,0,0,0
10:00,24,17,32,10,20,7,7,28,9,12,45,118,228,158,149,130,0,0,0,0
11:00,21,36,35,15,36,56,18,41,14,15,39,133,283,222,143,149,0,0,0,0
12:00,24,26,57,34,20,39,38,81,27,19,59,119,209,164,155,107,0,0,0,0
13:00,34,40,68,29,38,48,61,84,79,27,83,166,260,196,216,113,0,0,0,0
14:00,15,19,23,15,16,35,46,116,59,49,89,216,338,238,206,122,0,0,0,0
15:00,18,34,15,19,36,43,36,92,43,60,61,207,376,232,186,115,0,0,0,0
16:00,19,37,27,24,30,37,28,83,37,35,52,223,304,249,157,131,0,0,0,0
17:00,32,38,45,39,29,36,35,92,22,34,63,129,260,160,113,97,0,0,0,0
18:00,39,37,29,21,35,25,30,68,46,46,53,90,200,106,86,90,0,0,0,0
19:00,19,27,17,12,27,17,34,43,20,24,33,84,172,78,70,48,0,0,0,0
20:00,21,43,17,25,13,11,16,36,20,13,43,54,206,64,52,50,0,0,0,0
21:00,34,54,20,17,18,20,24,45,22,41,32,94,176,88,73,53,0,0,0,0
22:00,34,56,14,6,31,18,17,37,16,57,60,94,162,88,76,48,0,0,0,0
23:00,22,41,14,9,39,21,17,46,32,36,84,88,222,86,57,33,0,0,0,0
