Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,13,63,47,84,32,36,58,52,33,34,21,113,111,60,88,79,82,109,130,212
01:00,3,50,55,89,19,15,28,19,15,9,11,66,64,28,36,32,54,43,59,161
02:00,23,36,84,75,31,19,40,20,4,1,4,32,54,45,23,18,15,20,43,55
03:00,12,58,79,96,38,31,36,18,11,10,4,21,50,21,17,7,6,19,7,30
04:00,38,75,94,103,35,30,30,26,8,4,1,36,72,24,6,6,5,19,10,22
05:00,36,20,47,66,26,17,10,9,11,2,7,100,106,36,8,2,3,12,13,10
06:00,13,25,15,56,18,7,7,10,4,1,3,65,78,29,20,2,3,7,14,7
07:00,6,14,2,38,12,7,10,10,14,15,5,36,74,72,15,12,9,10,18,21
08:00,2,11,5,22,20,9,35,18,17,15,30,105,74,145,48,15,11,30,33,19
09:00,2,0,3,14,30,28,44,24,24,42,48,178,114,165,102,33,31,58,54,38
10:00,0,0,6,14,25,49,55,51,39,34,58,194,166,222,105,82,72,100,127,124
11:00,0,0,4,22,47,64,81,45,48,55,52,197,157,223,194,149,135,266,207,206
12:00,6,10,20,29,56,48,57,65,58,45,60,187,180,204,190,138,139,236,254,225
13:00,50,47,44,49,60,46,70,55,53,54,83,270,257,240,146,175,143,160,171,197
14:00,89,115,82,94,65,59,54,78,44,40,73,271,258,226,158,180,126,255,210,203
15:00,75,122,80,117,94,79,80,87,55,47,66,229,257,211,168,187,154,258,200,233
16:00,92,111,90,120,115,78,68,83,62,40,78,215,250,200,169,175,147,161,195,238
17:00,94,130,79,140,120,124,111,115,66,61,69,236,252,187,148,120,161,214,229,277
18:00,129,109,103,148,169,189,198,183,128,93,92,230,193,169,141,126,155,174,239,270
19:00,97,127,87,158,200,193,209,199,114,96,78,208,226,196,177,107,158,233,421,263
20:00,126,124,88,186,163,175,198,162,138,101,115,249,198,228,164,95,119,152,205,213
21:00,89,102,66,180,182,203,203,193,159,93,92,247,248,235,162,110,116,189,220,211
22:00,46,67,62,110,123,131,192,152,125,68,66,232,268,161,160,127,106,195,251,196
23:00,12,56,46,82,49,74,107,88,60,60,50,130,165,99,138,120,114,192,176,211
