Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,127,100,101,95,100,61,92,78,38,21,54,93,76,86,60,90,40,68,41,28
01:00,106,111,97,113,95,50,74,29,12,10,27,53,58,30,39,32,16,22,10,7
02:00,92,129,98,89,85,60,91,4,10,6,25,22,23,21,17,15,5,11,11,3
03:00,152,137,101,113,53,42,56,3,6,5,14,12,13,16,7,10,9,7,7,1
04:00,121,110,57,77,22,27,36,3,3,1,1,2,4,8,7,6,2,6,2,10
05:00,61,59,25,33,9,16,22,5,1,3,2,3,9,7,19,13,2,14,7,8
06:00,30,16,11,23,8,9,23,13,8,12,2,12,11,18,30,15,14,19,35,33
07:00,13,6,9,19,12,11,24,19,10,13,14,26,57,73,66,63,87,105,96,92
08:00,11,9,13,21,31,27,19,53,39,51,38,62,127,107,108,130,176,165,218,135
09:00,26,13,21,31,33,38,57,87,60,52,83,116,164,172,167,206,169,177,314,149
10:00,17,9,24,41,38,35,50,83,77,79,105,215,208,211,230,282,242,248,345,182
11:00,25,24,34,43,40,28,65,107,87,102,168,238,309,329,307,303,297,300,322,199
12:00,26,28,53,36,57,38,54,148,108,98,168,266,402,332,284,257,264,264,290,150
13:00,58,68,58,65,54,54,63,131,103,90,162,284,289,286,286,271,307,241,300,170
14:00,79,88,68,81,70,52,99,124,113,91,175,268,284,324,276,281,290,253,268,169
15:00,104,137,114,121,105,65,91,139,118,92,190,257,254,309,286,271,285,220,299,154
16:00,137,110,156,114,94,85,126,137,120,106,146,211,268,271,296,228,242,223,265,146
17:00,157,158,134,141,111,80,123,131,105,97,119,197,234,256,235,231,240,180,216,134
18:00,152,144,158,131,118,100,111,132,89,70,127,187,220,189,170,198,190,166,176,88
19:00,168,142,151,131,120,96,111,122,91,74,110,145,159,139,127,118,136,146,134,64
20:00,149,140,128,145,107,126,121,107,103,52,118,189,233,147,118,127,128,117,140,86
21:00,151,166,144,159,104,113,114,121,101,91,131,209,274,183,92,125,137,97,116,104
22:00,172,155,180,139,99,109,110,142,118,92,113,197,240,174,111,159,119,115,88,102
23:00,135,135,112,118,70,59,66,111,85,60,72,144,150,166,108,144,89,118,82,49
