Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,56,63,111,110,184,150,89,166,146,206,357,263,236,158,145,196,0,0,0,0
01:00,30,24,86,53,137,152,71,127,69,112,196,208,182,149,67,135,0,0,0,0
02:00,24,45,53,40,84,104,50,105,41,70,135,135,90,69,57,130,0,0,0,0
03:00,16,41,34,22,41,65,26,85,42,60,32,62,42,36,28,47,0,0,0,0
04:00,16,25,17,13,28,30,27,56,21,30,43,28,24,21,26,21,0,0,0,0
05:00,14,12,6,20,24,35,33,111,18,73,30,47,46,46,28,14,0,0,0,0
06:00,17,19,20,21,34,44,20,134,21,58,69,58,43,99,43,34,0,0,0,0
07:00,15,23,62,43,78,46,35,129,28,84,99,92,68,97,40,50,0,0,0,0
08:00,31,38,103,96,127,127,74,147,85,177,220,167,138,133,51,98,0,0,0,0
09:00,35,57,113,156,171,172,124,176,130,280,347,256,169,142,104,366,0,0,0,0
10:00,42,75,169,175,168,195,122,244,219,433,540,385,299,222,174,541,0,0,0,0
11:00,42,74,205,187,252,143,134,231,249,447,660,485,450,347,305,564,0,0,0,0
12:00,51,87,230,231,278,274,218,246,244,352,525,385,487,443,343,561,0,0,0,0
13:00,67,112,256,148,331,289,219,312,248,456,527,399,479,348,309,481,0,0,0,0
14:00,88,161,287,191,353,326,182,249,255,425,524,405,431,401,287,448,0,0,0,0
15:00,73,147,310,210,331,279,175,234,254,382,574,434,495,329,260,432,0,0,0,0
16:00,71,133,258,138,241,261,187,205,210,398,520,476,459,350,308,505,0,0,0,0
17:00,88,103,212,142,256,225,177,173,259,385,612,478,482,354,297,433,0,0,0,0
18:00,72,108,188,134,261,201,203,135,241,288,479,409,426,351,213,225,0,0,0,0
19:00,56,119,202,153,269,226,161,150,220,279,426,359,341,196,158,181,0,0,0,0
20:00,61,105,248,188,214,229,125,149,168,202,361,274,389,195,205,145,0,0,0,0
21:00,63,113,216,172,236,176,141,171,144,287,366,336,303,230,173,155,0,0,0,0
22:00,52,109,246,182,195,201,179,196,188,277,396,410,338,245,163,203,0,0,0,0
23:00,55,103,218,128,240,179,143,203,180,256,389,371,358,203,181,222,0,0,0,0
