Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,15,5,5,5,5,8,2,6,4,0,2,10,7,4,8,15,26,19,43,24
01:00,8,5,0,3,4,2,4,10,5,4,2,5,0,32,4,5,11,10,29,5
02:00,2,5,0,2,5,8,5,2,3,3,1,1,1,14,5,3,8,4,13,7
03:00,0,5,1,4,3,2,3,8,6,1,1,0,2,4,1,2,0,5,9,0
04:00,0,2,1,3,2,4,0,2,2,0,0,3,1,3,0,2,1,1,9,1
05:00,0,2,1,0,0,0,5,0,1,0,2,0,1,0,0,2,2,3,15,0
06:00,1,1,0,1,1,2,1,13,4,2,1,0,0,0,0,2,3,5,15,3
07:00,11,2,2,17,4,11,6,23,15,12,2,3,6,13,5,7,5,10,13,6
08:00,20,16,19,11,20,41,26,40,24,18,37,7,13,20,8,14,16,14,28,25
09:00,26,22,27,22,31,60,32,45,43,48,47,30,12,23,16,20,42,41,38,56
10:00,20,23,23,33,41,64,63,55,40,55,58,59,36,29,29,61,84,83,70,64
11:00,18,24,26,20,37,49,42,53,31,28,51,59,44,37,39,86,67,77,84,56
12:00,13,24,26,34,29,49,32,31,35,25,34,65,56,35,28,51,75,118,91,66
13:00,15,20,23,23,21,47,26,51,39,28,41,85,69,36,37,57,103,58,109,82
14:00,23,19,24,30,34,43,42,34,43,26,47,60,62,33,27,70,144,73,87,64
15:00,24,35,31,50,31,59,45,43,22,38,33,72,58,35,30,57,117,59,79,56
16:00,27,37,40,53,42,60,41,34,32,30,41,64,63,46,40,59,126,82,92,62
17:00,31,35,36,45,56,43,34,34,29,41,26,63,74,38,35,62,78,65,69,70
18:00,21,38,26,30,48,52,33,34,16,26,19,47,26,19,52,42,47,59,76,50
19:00,32,46,42,36,26,37,27,24,21,23,47,10,14,25,14,55,25,30,40,25
20:00,34,56,33,38,42,46,23,19,17,22,51,40,25,34,18,63,50,26,65,64
21:00,40,40,33,37,28,29,35,15,10,15,23,51,31,32,33,72,51,65,82,86
22:00,18,32,23,11,21,23,14,16,11,11,4,26,24,20,20,64,50,76,94,100
23:00,9,14,17,9,12,11,10,5,5,7,3,12,12,29,26,29,36,38,53,48
