Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,0,0,0,8,1,0,0,3,1,2,6,7,7,0,8,5,15,3,1,7
01:00,0,0,0,0,0,0,0,2,0,0,0,3,1,5,7,7,2,0,6,7
02:00,0,0,2,0,0,0,0,0,0,0,4,1,1,1,7,1,1,0,1,6
03:00,28,4,4,4,2,0,4,7,1,3,1,2,0,4,3,1,1,0,0,5
04:00,56,4,18,4,6,8,26,10,1,6,3,0,0,1,0,0,0,0,0,7
05:00,32,8,8,18,22,22,48,22,8,7,8,3,0,1,3,0,0,0,0,3
06:00,14,26,24,28,33,27,52,40,9,11,7,4,15,14,0,0,0,2,0,8
07:00,16,12,14,40,26,33,52,26,12,7,11,5,22,7,6,5,6,4,1,15
08:00,14,8,18,50,30,37,46,31,16,12,19,5,17,12,5,2,19,12,2,15
09:00,8,8,12,54,24,59,52,42,32,17,29,9,36,24,3,2,13,12,1,21
10:00,0,12,24,44,28,49,64,39,31,15,31,9,30,22,11,2,10,20,5,24
11:00,10,10,18,42,22,39,92,55,27,15,22,18,51,34,10,6,18,14,6,23
12:00,6,8,12,60,46,38,44,54,20,9,12,23,56,48,12,8,15,21,12,34
13:00,12,8,18,54,26,59,56,48,8,6,23,21,60,33,13,12,15,23,11,13
14:00,2,3,28,40,28,46,56,54,8,5,32,17,54,35,11,12,15,26,7,16
15:00,12,6,42,66,16,40,50,43,14,10,16,21,57,34,18,12,5,17,7,24
16:00,12,14,28,52,28,72,49,46,33,17,30,25,45,38,13,15,17,18,4,12
17:00,4,18,48,68,33,94,82,85,25,41,57,24,59,42,26,13,26,21,5,17
18:00,10,2,58,80,74,97,75,83,57,41,51,37,87,36,11,17,22,24,14,26
19:00,24,18,70,86,117,160,132,145,63,80,72,62,76,60,33,32,36,53,16,32
20:00,26,30,80,76,117,166,180,121,40,56,40,45,79,94,27,55,42,44,28,59
21:00,20,10,20,40,52,102,96,64,17,17,41,64,97,79,28,81,68,73,20,61
22:00,0,6,2,42,54,53,40,18,10,6,17,46,89,86,23,54,51,35,17,51
23:00,0,0,0,8,16,20,14,5,5,6,7,10,34,16,24,28,24,10,8,15
