Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,19,62,95,76,119,85,159,71,59,86,126,144,51,98,201,125,95,11,0,0
01:00,9,85,60,58,94,87,101,49,33,47,53,71,29,94,77,87,97,7,0,0
02:00,7,44,49,59,76,55,51,24,29,18,33,33,14,26,55,67,72,9,0,0
03:00,15,55,40,32,45,65,48,17,26,7,20,19,12,18,85,28,51,5,0,0
04:00,13,66,40,37,49,47,35,6,8,6,9,20,10,11,24,22,23,9,0,0
05:00,12,51,73,32,54,27,33,18,18,13,12,19,10,11,17,13,25,4,0,0
06:00,11,46,65,43,28,21,12,20,37,26,18,29,15,22,20,12,18,4,0,0
07:00,4,35,46,69,43,27,27,38,32,22,31,54,31,34,12,18,19,9,0,0
08:00,14,46,30,81,66,24,30,69,36,40,73,114,61,84,63,67,36,9,0,0
09:00,12,45,27,113,71,19,77,101,64,84,124,181,161,123,51,93,84,22,0,0
10:00,26,28,31,74,69,22,98,136,110,130,222,268,180,120,97,91,87,21,0,0
11:00,59,60,39,98,93,37,103,134,108,138,255,201,102,159,140,109,85,23,0,0
12:00,88,69,62,92,99,47,107,160,110,137,257,219,119,153,306,136,102,7,0,0
13:00,33,73,41,137,100,39,142,178,112,158,231,192,135,182,278,271,118,37,0,0
14:00,47,72,72,133,100,58,110,151,121,178,209,192,103,160,130,172,116,19,0,0
15:00,23,74,79,111,98,50,122,176,123,198,208,201,141,152,153,145,143,21,0,0
16:00,26,78,105,105,93,69,173,155,131,186,217,180,131,155,138,142,141,33,0,0
17:00,17,78,104,79,80,75,119,164,149,156,271,220,119,197,148,127,188,18,0,0
18:00,21,90,107,95,99,66,143,166,153,149,319,190,154,182,159,165,201,30,0,0
19:00,40,103,130,118,122,96,148,195,142,184,259,192,185,200,165,169,166,21,0,0
20:00,33,120,131,128,122,98,139,152,144,204,275,221,169,244,170,133,127,19,0,0
21:00,26,135,129,107,144,106,161,181,189,208,284,241,160,203,219,174,115,13,0,0
22:00,26,120,131,121,117,121,197,169,159,216,214,244,182,249,276,227,258,15,0,0
23:00,22,87,99,93,128,96,169,87,133,165,172,182,130,146,181,162,210,11,0,0
