Hour,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00:00,29,28,11,9,9,35,0,1,2,1,2,2,1,1,2,6,3,2,4,3
01:00,27,33,30,8,2,12,2,0,0,0,0,1,1,0,1,2,4,1,4,2
02:00,21,27,23,8,5,4,1,0,0,0,0,0,2,1,0,0,6,0,1,1
03:00,28,33,36,10,4,2,1,0,0,0,0,1,0,3,0,1,8,0,2,0
04:00,31,23,23,1,4,5,5,5,0,0,0,1,0,6,0,1,8,1,0,0
05:00,18,9,3,0,6,0,4,2,1,2,0,3,2,0,0,1,3,0,0,1
06:00,6,9,0,0,2,3,17,0,5,1,0,0,0,1,0,0,12,1,1,0
07:00,2,9,1,0,5,7,17,2,6,6,6,5,2,2,1,0,18,0,0,7
08:00,0,2,0,4,19,21,22,14,16,31,16,19,10,9,5,4,21,9,16,38
09:00,0,1,0,6,48,89,84,39,73,91,72,60,42,33,25,62,44,25,47,79
10:00,0,0,0,10,131,219,177,84,186,171,134,103,61,58,33,79,96,71,59,101
11:00,0,0,2,24,160,232,148,101,250,203,152,128,68,70,113,165,162,102,105,115
12:00,4,0,2,19,119,136,80,75,189,117,82,64,46,77,84,139,186,139,133,123
13:00,13,6,11,33,158,189,177,121,275,195,119,108,57,96,110,246,181,137,156,205
14:00,10,31,85,141,161,270,189,120,263,224,170,143,83,79,97,263,205,136,141,201
15:00,43,56,151,135,184,223,173,97,305,178,159,134,67,103,116,259,213,183,160,225
16:00,44,68,100,89,200,224,126,88,287,200,180,143,93,77,128,213,165,126,129,167
17:00,50,62,97,124,176,189,116,44,170,99,119,98,58,69,114,228,204,158,131,136
18:00,83,103,143,114,68,99,55,26,74,33,36,26,26,28,62,191,143,122,85,82
19:00,83,101,151,142,38,68,17,6,31,5,13,5,7,16,36,57,76,68,56,46
20:00,93,109,166,132,43,40,19,3,24,4,14,2,5,9,16,16,57,22,30,36
21:00,97,112,180,110,29,33,10,2,15,5,11,4,2,4,10,29,28,10,9,26
22:00,100,75,97,49,33,26,10,3,11,2,6,2,4,1,4,7,27,4,9,8
23:00,69,37,23,35,20,33,13,7,9,2,1,1,0,0,4,7,13,1,4,10
